image_id,mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
AAA1,16.04471005,1.088236786,-0.235977288,35.44766801,2.918997122,1.377771313,1.776648451,3.197063278,-2.524198644,normal
AAB1,19.30024154,1.842403019,-0.334683537,37.57174641,4.136751869,1.337723781,1.451256124,2.373190132,-2.213158152,abnormal
AAC1,19.92465282,5.748921249,1.91293512,34.50159884,9.809515885,3.535183825,1.17560316,1.302447425,1.765734322,abnormal
AAD1,17.96528335,4.017167044,0.599766737,34.73393491,8.247652573,1.929610151,1.439302947,1.877374875,2.438150356,abnormal
AAE1,18.4010458,1.405913567,0.895225632,36.96975582,3.502186653,2.467736649,1.526170439,2.82350809,3.28300782,abnormal
AAF1,29.3948174,1.454866516,7.48440882,41.94782366,3.100012822,11.41835314,0.743603185,1.49069096,1.042419731,abnormal
AAG1,9.691205289,2.612761824,0.948668224,26.26176905,7.010011828,2.997062178,2.389046898,2.756576775,3.657016684,normal
AAH1,15.50144074,0.960055117,1.7378851,34.3651255,2.7573553,4.199448906,1.788309773,3.070917327,2.370464688,abnormal
AAI1,19.99816989,2.85715635,-0.579181816,37.40980206,5.591227157,1.988573276,1.359232788,1.845509387,-2.202168244,abnormal
AAK1,2.636898322,0.316375331,0.14378948,14.92575175,1.656910905,0.989270365,5.645377182,7.322301368,8.07780413,normal
AAL1,18.48974119,2.461409589,-0.259323976,36.33814184,5.058186429,1.518592339,1.483282297,2.141901468,-2.885446431,abnormal
AAM1,15.92707183,3.796130334,-2.003372642,33.72165246,8.554203149,4.847231553,1.67428235,2.317111155,-2.648226432,abnormal
AAN1,31.18099867,1.780027353,-0.841683649,44.95208425,3.281987833,1.774490012,0.757762485,1.91915204,-2.125125797,abnormal
AAO1,19.13278504,5.121122704,-2.536534863,35.83123049,10.10649681,5.054642945,1.360740235,1.726257881,-1.729436324,abnormal
AAQ1,4.131957372,0.542389572,-0.316880944,19.01392511,2.74546963,1.63959266,4.441298816,6.670632511,-6.924243563,abnormal
AAR1,13.7983932,1.678044242,2.14255824,31.95380833,4.267313317,5.621601025,1.921315757,2.758667301,2.55517186,abnormal
AAS1,4.508648855,0.407370637,0.27418701,19.67962223,2.037981208,1.500380776,4.218814467,6.863365124,6.57490741,normal
AAT1,4.904844055,0.432841778,0.098326532,20.66295262,2.185307764,0.628922952,4.027468968,6.451991077,5.912353813,normal
AAU1,21.92317329,1.545063824,-0.358078591,39.94638932,3.661573579,1.740786043,1.28503387,2.550744922,-1.777464095,abnormal
AAV1,20.91784096,1.700168702,-0.598620871,39.07066585,4.089861313,2.523677239,1.350682465,2.778892949,-1.76242363,abnormal
AAW1,11.04660569,1.551439761,-0.961581581,29.03872978,4.478575752,2.823464858,2.273099435,3.094286259,-3.099462491,normal
AAX1,19.01351022,2.39041111,1.333148824,36.62476845,4.895335567,2.864325665,1.426697125,1.87118135,1.991700171,abnormal
AAY1,31.58138,10.15009855,-5.676001252,41.19983589,13.5531453,7.752024346,0.552306996,0.7371151,-0.791932214,normal
AAZ1,7.877983908,1.411403835,0.265157947,24.97307215,4.681373554,1.265314573,2.898979638,3.54603472,4.179996513,abnormal
ABA1,19.29074847,3.136616645,-2.049575419,36.24492285,6.919720473,4.628610222,1.369390469,2.259139545,-2.320515837,abnormal
ABB1,25.59567738,2.607746712,1.852376274,40.92862736,4.876545348,3.304102726,0.987166465,1.712083133,1.699931513,abnormal
ABC1,29.76598567,6.086572888,-4.024957959,42.50220838,9.140954719,6.030923968,0.735751902,1.067160763,-1.052385223,abnormal
ABD1,10.44395542,3.255834727,1.002642421,26.82912056,8.223708256,3.273320078,2.233359192,2.543090564,3.406013319,normal
ABE1,13.15115317,1.551265233,0.484182308,31.77157615,4.083514928,1.436101069,2.037131306,2.837470394,3.68666987,normal
ABF1,18.0452316,0.187047484,0.010476736,36.32320363,2.043370507,1.258986577,1.53165166,0.595109635,1.243106843,abnormal
ABH1,6.746768163,0.730415203,0.250003686,23.81931834,2.858889174,1.526249576,3.284498729,4.419025804,6.023227301,abnormal
ABI1,25.59765563,2.903861809,0.928390513,40.82138552,4.990368593,2.200769209,0.986440057,1.626562331,2.354356501,abnormal
ABJ1,19.34676243,1.703531353,-0.629744558,36.3359159,3.75163514,1.824143252,1.364429964,2.40175886,-2.937503963,abnormal
ABK1,16.12062791,3.100183459,1.409972082,33.46676986,6.585810487,3.142265814,1.622723267,1.960427492,2.256556201,abnormal
ABL1,19.68210316,3.533116434,0.25950892,35.20694321,6.337415157,1.397156194,1.25166464,1.501936341,2.399939928,abnormal
ABM1,25.08573571,1.0334603,0.043246871,42.10011097,2.306320984,1.247033004,1.098823498,2.777759754,0.115717101,abnormal
ABN1,24.77750864,4.484825698,1.939197025,38.06899055,6.515626481,3.335400473,0.909897182,1.158268395,1.865053349,abnormal
ABO1,27.68467699,2.141148631,-0.686026815,42.48299228,3.578146226,1.520046467,0.894175654,1.491103696,-1.700687917,abnormal
ABP1,12.30611829,2.02170945,-0.883079058,30.79413179,5.497909654,2.693281215,2.138666891,3.111719136,-3.393931643,abnormal
ABQ1,15.33284773,2.242412415,-0.002341314,33.78702524,5.482384143,1.812721413,1.771829421,2.454806044,-2.538421361,abnormal
ABR1,16.49941301,2.142511256,1.73984368,34.48489645,4.92827523,4.012971746,1.632557166,2.285771941,2.302588047,abnormal
ABS1,17.77407259,4.170280323,-0.425522201,34.70578738,8.307501254,2.12984527,1.458753277,1.697812184,0.568352722,abnormal
ABT1,8.586937321,1.620185662,-0.875983873,26.2593725,5.239948162,2.890297055,2.76566057,3.604631674,-3.71638537,normal
ABU1,14.11570966,1.19593614,0.911271924,33.03075406,3.25356129,2.458564531,1.936776565,3.001971402,3.023288668,abnormal
ABV1,11.20475816,2.511551358,-0.490338587,28.28096213,6.230278736,1.829580133,2.168625139,2.702684642,-4.083097401,abnormal
ABW1,19.67668156,1.598724387,0.916331668,37.72087854,3.729482956,2.38742588,1.414339738,2.554805104,2.90329664,abnormal
ABX1,14.23399483,3.284317829,0.435107724,31.74059629,7.460766922,1.659454082,1.806909743,2.141015481,2.623742857,abnormal
ABY1,27.90555624,4.601479217,1.105450162,40.99228273,7.472026443,2.00043739,0.80809857,1.224077967,1.880880262,abnormal
ABZ1,9.209372294,1.563245055,0.423927195,26.74468252,4.734563768,1.620886163,2.613399952,3.423339722,4.051356199,abnormal
ACA1,4.688622002,0.220871098,0.120562813,20.45365429,1.238018063,0.748869656,4.179763155,7.543347157,6.996191743,abnormal
ACB1,4.526305624,0.232846422,0.114901703,20.13608983,1.35146853,0.719309781,4.273120434,8.140272322,4.913640565,normal
ACC1,13.23445361,2.32111703,0.843935995,31.07949838,5.650131927,2.335700399,1.946921993,2.350034579,2.88199622,abnormal
ACD1,13.06560184,1.315468392,0.012102132,32.19827922,3.498778519,1.198140371,2.076603501,2.820510928,-2.271438524,normal
ACE1,11.74847629,2.546812435,1.453667123,28.1746208,6.399390485,3.880853826,2.023888219,2.565250719,2.641856358,abnormal
ACF1,26.10940321,2.803991939,-1.700192517,42.03623267,6.02165441,4.123705915,1.00255302,2.17026936,-2.250036653,abnormal
ACG1,21.06244637,5.018867125,-2.253237994,37.24859479,9.125294316,4.191332618,1.224848794,1.584495077,-1.650952536,normal
ACH1,2.918531527,0.30590591,-0.01673831,15.78904259,1.327568143,0.380379061,5.355487192,5.821079135,-2.010499171,normal
ACI1,12.87231252,3.59930333,0.661877051,29.79201352,8.418228969,1.903436402,1.921109771,2.226050304,3.155273057,normal
ACJ1,7.587808862,0.583706883,0.202020937,25.35767457,2.272953797,0.837919223,3.085796396,4.868212884,5.368688473,normal
ACK1,4.906198198,0.291202199,0.225087987,20.73241336,1.556303875,1.2126177,4.046368528,7.485997349,6.792109216,normal
ACL1,21.23056524,2.008399,0.944235484,38.74642088,4.238339,2.076820734,1.291529031,2.134653404,2.401819066,abnormal
ACM1,13.09903868,1.765155774,-1.135846295,30.44089044,4.244203367,2.81330176,1.916665372,2.493395512,-2.580116659,abnormal
ACN1,8.502432761,2.004298238,-0.415749831,25.32795152,6.129223628,1.800434992,2.704967555,3.452645399,-4.206555464,normal
ACO1,15.94444606,3.12110879,1.022113272,33.25041962,6.579197229,2.318360079,1.629007153,1.958999174,2.351878851,abnormal
ACP1,20.23780038,5.34921767,-0.390446459,34.62585279,8.251179754,1.609900476,1.165583095,1.360395139,-1.435234068,abnormal
ACQ1,19.4963647,4.335659861,1.931044946,35.40520993,7.850292901,4.070059039,1.289867528,1.527163802,2.246703382,abnormal
ACR1,23.80405742,3.385714521,0.827333344,39.54002079,6.038932804,2.55913252,1.074479372,1.589588618,1.585012398,normal
ACS1,30.00872258,8.457574736,-4.40853336,41.17873874,12.24874945,6.659259466,0.659089564,0.967046923,-1.055920955,abnormal
ACT1,24.3341481,1.684255157,-0.779350036,40.28370969,3.605842443,3.633381443,1.068086124,2.106196233,-1.81939357,abnormal
