image_id,mean_r,mean_g,mean_b,std_r,std_g,std_b,skew_r,skew_g,skew_b,label
AAA1,42.7892123,39.99427166,41.1881003,93.02548112,88.5655914,90.69132688,1.76697295,1.787234304,1.776548199,normal
AAB1,52.24825584,47.62175084,49.48681964,100.4400255,92.85878523,96.39869944,1.442096486,1.463584439,1.454523765,abnormal
AAC1,61.45649851,45.54081492,46.15103716,105.0181368,78.94244001,80.09263411,1.172852148,1.186910714,1.186426157,abnormal
AAD1,52.94470859,42.24092193,43.96400208,101.1509895,81.94876835,85.20120095,1.424136402,1.468001489,1.454537102,abnormal
AAE1,50.05816902,45.55528669,44.86459065,99.69809381,91.61855817,90.19334304,1.516820219,1.53759261,1.541954587,abnormal
AAF1,82.30893907,72.56129538,59.72211636,115.9253077,103.7455986,85.33740814,0.735949984,0.753344098,0.802455888,abnormal
AAG1,29.84818146,22.38447924,22.50864047,78.78619047,60.7700686,60.94287023,2.372256872,2.421571834,2.418424409,normal
AAH1,42.53239161,38.43805573,35.88555883,92.97992762,85.30038251,79.50911787,1.777171708,1.801200526,1.814093284,abnormal
AAI1,55.7289495,48.60862739,51.61438397,102.3189016,91.06508751,96.62377007,1.35043554,1.372045913,1.362278125,abnormal
AAK1,7.561683736,6.486650479,6.432609523,40.70746111,36.52613142,36.11218606,5.601169107,5.688770747,5.69052995,normal
AAL1,51.48325515,45.06314498,47.20896779,99.08795779,88.66372253,92.82053569,1.473646272,1.49705738,1.486146867,abnormal
AAM1,45.73353904,37.62326016,43.98500083,95.21314154,79.97002201,92.32667246,1.658435826,1.705794531,1.668240863,abnormal
AAN1,82.10437447,78.08367609,80.87031872,117.3814594,112.6759303,116.2299087,0.75419182,0.762586717,0.756614316,abnormal
AAO1,55.64645776,44.70783768,52.93563518,103.0423964,84.02572955,98.56284218,1.347243066,1.389853453,1.355600647,abnormal
AAQ1,11.31728201,10.129925,11.12023493,51.09481484,46.67336734,50.45098187,4.41951855,4.473566467,4.427761788,abnormal
AAR1,39.59897171,33.49749858,30.7354777,89.88201467,77.73213817,71.29272706,1.900381665,1.947631552,1.997789526,abnormal
AAS1,12.56030196,11.15356666,10.93176787,53.11305742,48.63974086,47.48475876,4.185890299,4.253586596,4.265449952,normal
AAT1,13.43284148,12.1377099,12.23807957,55.3987938,51.1388326,51.68479572,4.004971791,4.054211629,4.038960682,normal
AAU1,58.37907731,54.58574882,56.29573354,105.5029751,99.61200638,102.5475207,1.27750654,1.294561499,1.287746933,abnormal
AAV1,56.01338762,51.94651066,54.239819,103.1990443,97.15703166,100.8832575,1.343187062,1.361588636,1.350916034,abnormal
AAW1,30.01986921,26.80595277,29.65025675,78.10879593,70.58366409,77.35044428,2.263094659,2.29183094,2.265902091,normal
AAX1,53.62858151,46.23938529,45.43356899,101.8645813,89.23028212,87.71642568,1.415523365,1.441036974,1.44438886,abnormal
AAY1,93.45864836,72.57238755,90.04134671,120.8098682,94.93483994,116.8731082,0.544720475,0.571470254,0.550878971,normal
