image_id,label,mean_lbp,median_lbp,std_lbp,kurtosis_lbp,skewness_lbp,SRE_deg0,LRE_deg0,GLN_deg0,RLN_deg0,RP_deg0,LGLRE_deg0,HGL_deg0,SRLGLE_deg0,SRHGLE_deg0,LRLGLE_deg0,LRHGLE_deg0,SRE_deg45,LRE_deg45,GLN_deg45,RLN_deg45,RP_deg45,LGLRE_deg45,HGL_deg45,SRLGLE_deg45,SRHGLE_deg45,LRLGLE_deg45,LRHGLE_deg45,SRE_deg90,LRE_deg90,GLN_deg90,RLN_deg90,RP_deg90,LGLRE_deg90,HGL_deg90,SRLGLE_deg90,SRHGLE_deg90,LRLGLE_deg90,LRHGLE_deg90,SRE_deg135,LRE_deg135,GLN_deg135,RLN_deg135,RP_deg135,LGLRE_deg135,HGL_deg135,SRLGLE_deg135,SRHGLE_deg135,LRLGLE_deg135,LRHGLE_deg135,coarseness_tamura,contrast_tamura,directionality_tamura,roughness_tamura
AAA1,normal,222.0175439,255,71.45867381,21.07943835,-1.384679608,0.848468081,697.1220346,3059.577732,40542.42274,0.470699179,0.170464972,29043.77102,0.119482417,26474.14334,1,175225.0588,0.847284718,294.1516749,3330.092674,42433.23757,0.492605745,0.171173479,28674.03891,0.123786601,26377.73536,1,129471.0053,0.849490362,601.1821377,3071.654363,40931.70986,0.473776831,0.169586445,29165.10484,0.11953087,26629.70088,1,144399.2488,0.845087359,282.8290875,3386.200971,42283.63832,0.494089331,0.173405957,28648.60882,0.126703539,26280.82718,1,105816.2043,5.533590289,63.03426949,444.5167581,68.56785978
AAB1,abnormal,212.9749611,255,78.39897367,14.39184467,-1.608122029,0.857962893,423.3892527,3267.428029,51611.49559,0.532811061,0.152978524,31885.86434,0.103952955,29975.90265,1,41562.01697,0.855296708,169.7854407,3707.433881,53631.05446,0.555867288,0.159597908,31013.04214,0.113256906,29437.19079,1,38536.72663,0.853816803,350.3675982,3271.456671,50816.09016,0.53004863,0.152891909,31735.71909,0.104256358,29633.17245,1,42698.76398,0.854417956,168.0988546,3748.600062,53605.13769,0.557068658,0.160366237,30899.66553,0.113576913,29294.42755,1,38554.08592,6.714683228,71.81281737,470.9731023,78.5275006
AAC1,abnormal,208.9982356,255,79.38458152,12.67829102,-1.738439514,0.829203177,155.8473492,3942.155546,55254.0048,0.523602553,0.16107394,22482.90072,0.106898445,20021.9114,1,37127.2391,0.834719301,91.97958752,4376.957571,58871.98354,0.548941217,0.164683922,22106.50591,0.113964464,20041.69892,1,32980.81854,0.814649121,221.6166788,3697.364647,50991.72,0.502494131,0.159509598,22608.82956,0.103131583,19683.33013,1,41656.23427,0.833180737,98.17799978,4362.578859,58487.03706,0.547669699,0.164624643,22126.99247,0.113959191,20031.14545,1,33119.21803,8.693474666,69.71018333,517.0041109,78.403658
AAD1,abnormal,218.3604682,255,72.51026832,17.75719774,-1.515903856,0.829743435,473.0578395,2555.859745,43049.86812,0.521746618,0.141784686,28114.64198,0.09390892,24924.07342,1,50449.67481,0.839750848,224.3717682,2899.247677,47394.94231,0.557724825,0.143563145,27633.62495,0.101715868,25135.15219,1,41213.39239,0.836415714,535.8411621,2578.693014,44667.73539,0.531625752,0.140097659,28277.00417,0.094937855,25330.04125,1,45620.18285,0.840489068,209.4808305,2915.144044,47667.72036,0.559869739,0.143204201,27666.59983,0.100684139,25266.11086,1,40702.16488,6.73953135,66.2448461,499.4093691,72.98437745
AAE1,abnormal,221.0167929,255,70.77524423,19.73542543,-1.440470076,0.810144609,535.9829861,2656.341819,38265.986,0.452355367,0.152709914,33593.02223,0.096025953,29532.85892,1,65623.54332,0.817657016,193.5148735,3242.981419,42883.42812,0.495483852,0.158021898,32633.36565,0.107089438,29548.61462,1,50451.50544,0.806723406,367.9162459,2793.006564,38573.52026,0.460153346,0.155043874,33205.55966,0.099396502,29062.73545,1,61967.06621,0.814793821,185.2063838,3246.651806,42376.78575,0.493617855,0.159413482,32586.33665,0.108236231,29368.90129,1,51107.1133,8.512064653,69.36794348,597.6387952,77.88000813
AAF1,abnormal,195.3344899,255,85.73505879,8.093926421,-2.087786872,0.840371638,136.3185538,4936.356552,79604.26375,0.800434028,0.149622221,30138.06071,0.099455968,27153.19612,1,49162.47892,0.850817294,53.7670616,5436.719417,86369.7939,0.843689904,0.152391795,29788.29306,0.105664307,27464.56624,1,42169.58288,0.846685116,88.3240947,4941.375022,81524.80666,0.806363515,0.149110696,30268.85894,0.099806424,27425.77631,1,47296.23609,0.852452884,49.37507004,5443.565048,87001.94949,0.846120459,0.152027218,29780.97183,0.105019325,27503.39041,1,41770.21398,8.600419509,93.97232908,492.6606478,102.5727486
AAG1,normal,220.6129194,255,71.76292518,19.60090352,-1.437528384,0.805425102,271.3410953,4811.333072,35553.28083,0.404977876,0.232431583,15138.05417,0.154532353,13781.89202,1,23840.85129,0.807476497,145.8937531,5361.235213,37955.2753,0.429086007,0.234547608,14756.46872,0.163727472,13651.11994,1,20709.87198,0.803576885,477.5264561,4587.589613,34634.61242,0.396826604,0.230549256,15424.85642,0.150946947,14021.39772,1,24405.20566,0.804202778,145.6160132,5356.200762,37547.13749,0.428125,0.234850701,14746.12278,0.163254882,13614.92102,1,20822.73201,7.931882719,40.9969408,570.4875882,48.92882352
AAH1,abnormal,217.9747855,255,73.78537303,17.64091577,-1.505388386,0.819164268,322.026218,4176.920543,43890.2013,0.488092238,0.196842226,27104.93291,0.125104287,25091.28537,1,38334.61994,0.820216465,193.177739,4821.104506,46707.29746,0.516864079,0.2030668,26195.38062,0.136008158,24583.92056,1,34158.29876,0.816731012,293.8305452,4163.456574,43247.27902,0.484171987,0.197409019,27018.33405,0.125298808,24799.14449,1,39349.32102,0.817659878,168.2425901,4865.486535,46366.6579,0.516773073,0.204020555,26069.08891,0.136429215,24372.09889,1,34507.30317,7.698933347,60.61526253,545.1385589,68.31419588
AAI1,abnormal,201.7490139,255,85.03243475,9.876133829,-1.878729674,0.843618807,133.6094012,7418.341132,80402.8922,0.770051655,0.194608251,25108.73853,0.130977634,23637.29389,1,32113.25351,0.841395099,67.18642217,8225.741819,83233.38163,0.800241571,0.201048344,24418.80577,0.140883993,23158.84141,1,30237.26969,0.833982795,124.5687521,7143.607385,76519.06503,0.751696135,0.193364533,25279.07445,0.128849697,23517.98874,1,34178.42195,0.839870924,68.63690298,8123.406225,82438.48127,0.795943411,0.200286125,24466.7904,0.139617912,23147.00007,1,30621.21031,7.294094612,73.04887685,250.8501785,80.34297146
AAK1,normal,234.9348324,255,57.78765587,40.02216326,-1.041667151,0.725269895,664.2160718,5660.897499,16513.17554,0.240138668,0.337512312,8312.577363,0.209483825,8006.460787,1,9735.099696,0.722274022,327.5624359,6611.525174,17944.54169,0.262746711,0.337647458,7729.044169,0.222444237,7538.377221,1,8588.427446,0.725782644,897.6455531,5343.099714,16034.46734,0.232914587,0.335253792,8592.856821,0.20358246,8286.286188,1,9954.47221,0.719793113,375.3751319,6603.046607,17756.36763,0.261931431,0.338610366,7693.820202,0.224004178,7459.172415,1,8737.202154,6.748863844,15.71858672,556.4383314,22.46745056
