image_id,mean_y,mean_u,mean_v,std_y,std_u,std_v,skew_y,skew_u,skew_v,label
AAA1,40.96605538,0.109653013,9.837125687,90.09769704,1.203598945,20.93801287,1.777430453,1.321521513,1.796971341,normal
AAB1,49.21769368,0.133073763,12.55615762,95.46789288,1.134485982,23.93508414,1.452258685,0.925838019,1.489867615,abnormal
AAC1,50.36916965,-2.073548591,18.95733062,86.79238352,3.691586678,32.19050644,1.177614998,-1.602844206,1.192258384,abnormal
AAD1,45.63778528,-0.822193695,15.2033212,87.92900654,2.111366661,29.06197167,1.441269672,-2.475408136,1.487078965,abnormal
AAE1,46.82290916,-0.963067176,11.81126036,93.80803627,2.576997981,23.43440578,1.52731645,-3.170117301,1.56267725,abnormal
AAF1,74.01217444,-7.030785674,19.22314205,105.1633699,10.89334021,26.67343147,0.745368246,-1.031164753,0.765436702,abnormal
AAG1,24.63028058,-1.043029928,9.079488841,66.05808195,3.191671914,23.64977023,2.391235338,-3.384396302,2.424882241,normal
AAH1,39.37127751,-1.714756023,9.950378024,86.86686791,4.211226503,21.47941681,1.789904694,-2.36097648,1.819832397,abnormal
AAI1,51.08025995,0.263822518,14.40129924,94.98933152,1.60234927,26.07447325,1.359861289,1.600424709,1.392354634,abnormal
AAK1,6.801924754,-0.181591746,1.953071453,37.68239388,1.167277251,10.04382568,5.650918166,-7.173464666,5.64742839,normal
AAL1,47.22738172,-0.008177451,13.17557903,92.18113101,1.304546944,24.94570829,1.484212965,1.669213728,1.517479627,abnormal
AAM1,40.77347198,1.581507935,13.14864761,85.79933376,4.017039049,27.25027163,1.674838771,2.695574134,1.744983439,abnormal
AAN1,79.60354216,0.623933525,18.36812899,114.4553123,1.450237645,26.00048257,0.757896932,2.076941481,0.780329973,abnormal
AAO1,48.916454,1.979342559,16.49159864,91.23756463,4.034868332,30.55887332,1.361368009,1.739672342,1.413424834,abnormal
AAQ1,10.59784008,0.25723365,2.855240553,48.38299128,1.421108189,12.68225774,4.442025878,6.949207234,4.547157978,abnormal
AAR1,35.00696867,-2.101157657,10.1757036,80.49292298,5.586783338,22.78411228,1.924979899,-2.509335895,1.958915231,abnormal
AAS1,11.54889545,-0.303494364,3.073675663,49.78583575,1.659701211,12.62925362,4.222950021,-6.093204392,4.282560226,normal
AAT1,12.53639638,-0.146623164,3.234084868,52.4319975,0.721809187,13.13750632,4.029463034,-6.277787436,4.103711531,normal
AAU1,55.9148923,0.187934049,13.42104526,101.6559173,1.504732504,24.13870272,1.285562721,0.634850643,1.321527356,abnormal
AAV1,53.42394402,0.402051525,13.1197623,99.32292194,2.194358669,23.89605427,1.351004658,1.113599754,1.40147127,abnormal
AAW1,28.09116444,0.767670821,7.622179563,73.55328165,2.332213559,19.70876448,2.274258697,3.122490128,2.324003977,normal
AAX1,48.3568919,-1.437547748,13.71165111,92.75374279,3.037096047,25.8071947,1.427729683,-1.92412113,1.452351729,abnormal
AAY1,80.80884088,4.546185856,29.10642382,105.0471323,6.310350522,37.61307785,0.552535063,0.803952633,0.583870675,normal
AAZ1,20.10577911,-0.371319359,6.25160311,63.24828996,1.399728227,19.18279506,2.900433685,-4.230999997,2.955252081,abnormal
ABA1,49.12156381,1.66817341,13.8299107,91.82489244,3.901882891,25.60078848,1.369139792,2.368649103,1.467521357,abnormal
ABB1,65.06726954,-1.943612944,17.55301911,103.7425663,3.441295233,27.71576094,0.987929402,-1.62002302,1.020547017,abnormal
ABC1,76.21319865,3.259704308,22.83691987,108.6038307,4.927518264,32.4392543,0.735641218,1.069701976,0.764144787,abnormal
ABD1,26.51319169,-1.104926701,10.36232228,67.40427709,3.362851096,25.62523945,2.237071938,-3.260043112,2.26519421,normal
ABE1,33.57991418,-0.611757738,9.298451599,80.48016702,1.657051815,21.58331518,2.038190712,-3.182492231,2.081548488,normal
ABF1,45.58517965,-0.026586115,9.429491552,91.53642159,1.124355975,18.8336955,1.533061505,-1.742312222,1.588427322,abnormal
ABH1,17.21443502,-0.309513503,4.661099319,60.41036147,1.596523797,15.99006769,3.285867966,-6.07108443,3.333326926,abnormal
ABI1,65.21115836,-1.138351913,17.78927849,103.4924213,2.384071722,27.67901551,0.987496202,-2.21173533,1.01283228,abnormal
ABJ1,49.04910059,0.406908017,12.25877629,91.62059897,1.508063507,22.384352,1.364613895,2.78347506,1.421377743,abnormal
ABK1,40.96466208,-1.522646394,13.22411397,84.52555803,3.326947071,26.65125081,1.624125754,-2.13813229,1.654088539,abnormal
ABL1,49.80778766,-0.543373807,15.30118327,88.71947667,1.508933867,26.69734701,1.253976636,-2.898085987,1.274098907,abnormal
ABM1,64.0360841,-0.164959368,14.50363979,106.9619953,1.244885683,23.55733771,1.099351874,-1.32126648,1.113925878,abnormal
ABN1,62.8286822,-2.176704899,19.99395302,95.75433952,3.571149137,29.42045808,0.910687345,-1.69500971,0.927206485,abnormal
ABO1,70.50283413,0.426339057,17.13127251,107.9399596,1.249193146,25.87336699,0.895175469,1.368133361,0.90459745,abnormal
ABP1,31.49625906,0.650336736,9.093989429,78.25506157,2.204244398,22.08400277,2.139987826,3.380306281,2.209961791,abnormal
