mean_l,mean_a,mean_b,std_l,std_a,std_b,skew_l,skew_a,skew_b,label
17.37988834,1.190243569,1.456394011,36.14235307,3.103959254,3.575732881,1.612224764,2.567197786,2.621220936,0
8.291838139,0.567156735,0.562491726,26.39976444,2.209306338,1.994431541,2.895090961,4.681645696,3.854903519,0
4.688622002,0.220871098,0.120562813,20.45365429,1.238018063,0.748869656,4.179763155,7.543347157,6.996191743,1
4.526305624,0.232846422,0.114901703,20.13608983,1.35146853,0.719309781,4.273120434,8.140272322,4.913640565,0
15.92707183,3.796130334,-2.003372642,33.72165246,8.554203149,4.847231553,1.67428235,2.317111155,-2.648226432,1
10.58560145,1.319145384,0.920579027,28.75762629,3.789850212,2.71617791,2.381309248,3.089329436,3.104706069,0
19.99816989,2.85715635,-0.579181816,37.40980206,5.591227157,1.988573276,1.359232788,1.845509387,-2.202168244,1
19.29074847,3.136616645,-2.049575419,36.24492285,6.919720473,4.628610222,1.369390469,2.259139545,-2.320515837,1
8.039042813,1.066786757,0.583626599,25.48147371,3.658886281,2.16354,2.885298493,3.648860033,4.111962827,1
25.08573571,1.0334603,0.043246871,42.10011097,2.306320984,1.247033004,1.098823498,2.777759754,0.115717101,1
3.051707264,0.402042963,0.133654467,16.00353718,1.943415113,0.733545155,5.200354182,6.569669927,6.986162964,0
16.04471005,1.088236786,-0.235977288,35.44766801,2.918997122,1.377771313,1.776648451,3.197063278,-2.524198644,0
10.85974555,0.875229086,-0.03609526,29.67169735,2.826504252,1.271587941,2.394276551,3.860844003,-0.432408771,0
6.207526756,0.253198707,0.194601652,23.45850943,1.41520197,1.007240279,3.55015615,7.426221985,6.442131584,0
13.33802395,2.77646781,1.400047581,30.68655395,6.365417628,3.39104861,1.906524048,2.282117096,2.466802612,0
20.03994204,4.805357682,-0.674313607,36.0367565,8.745745345,2.12461263,1.274731424,1.635289121,-2.318110614,1
7.479275896,0.784035777,0.771025036,24.72902011,2.888659212,3.178988427,3.059185296,4.445901356,4.72549027,0
8.772204014,0.560113839,-0.043943126,27.46394861,2.146154117,0.573223003,2.833325893,4.566036937,-3.805287702,0
22.97930104,6.22126152,1.300829962,36.83660539,9.821939612,2.742038571,0.997282896,1.111839521,2.026943671,0
2.636898322,0.316375331,0.14378948,14.92575175,1.656910905,0.989270365,5.645377182,7.322301368,8.07780413,0
19.01351022,2.39041111,1.333148824,36.62476845,4.895335567,2.864325665,1.426697125,1.87118135,1.991700171,1
21.06244637,5.018867125,-2.253237994,37.24859479,9.125294316,4.191332618,1.224848794,1.584495077,-1.650952536,0
4.437615993,0.410709191,-0.214632791,19.80101407,2.024491517,1.029016139,4.285768628,6.087333901,-6.128541484,0
24.42889881,8.005320941,3.792123781,36.06677223,11.68201556,6.12618496,0.815061232,0.904106763,1.420643869,0
25.18398208,1.526700543,0.004304988,41.95981811,3.502024181,2.6783597,1.077665556,2.49928639,0.52426513,1
25.54467777,1.069082573,1.016396451,42.1191012,2.606366566,3.020854362,1.05626269,2.651316854,2.929907166,1
14.11570966,1.19593614,0.911271924,33.03075406,3.25356129,2.458564531,1.936776565,3.001971402,3.023288668,1
26.76114504,3.000764054,1.350926198,41.50581753,5.140548805,2.480027019,0.915906291,1.413085204,1.709072747,0
2.918531527,0.30590591,-0.01673831,15.78904259,1.327568143,0.380379061,5.355487192,5.821079135,-2.010499171,0
24.55845775,1.99726119,0.809342666,40.91731903,3.71193733,1.895135387,1.082848128,1.773715634,2.685849706,1
3.213252812,0.139171076,0.166126827,17.03022058,0.895947518,1.152595219,5.173797535,8.434234974,8.671246756,0
14.23399483,3.284317829,0.435107724,31.74059629,7.460766922,1.659454082,1.806909743,2.141015481,2.623742857,1
13.54330944,3.203778062,0.800177871,30.72277425,7.269758695,1.947182909,1.864245051,2.289944603,2.773007343,0
8.704941038,1.737642206,-0.851235473,26.35375714,5.908683572,3.119281003,2.743238921,3.945787513,-4.274817873,0
11.10906307,1.728154008,-0.334057732,29.51528814,4.862243847,1.410892746,2.311118722,3.03479232,-3.190866257,1
26.50022619,5.533501116,2.799222373,39.45842319,8.516512186,4.346164228,0.831894478,1.059768023,1.123326048,0
19.13278504,5.121122704,-2.536534863,35.83123049,10.10649681,5.054642945,1.360740235,1.726257881,-1.729436324,1
15.41949078,2.551954778,-1.078513757,34.11570375,6.209724065,2.616422108,1.773792019,2.365367545,-2.271545469,0
32.38136208,1.762959936,1.606936914,44.87982277,2.957602581,2.443222243,0.669621607,1.578800187,1.203532445,0
13.92209426,2.768753063,0.688002894,31.54712919,6.795145176,1.881682321,1.858853956,2.370564867,2.98566831,0
11.44708441,4.053200948,-1.282608369,26.67465145,9.509029483,3.148803142,1.942535848,2.210523504,-2.34505653,0
29.76598567,6.086572888,-4.024957959,42.50220838,9.140954719,6.030923968,0.735751902,1.067160763,-1.052385223,1
4.508648855,0.407370637,0.27418701,19.67962223,2.037981208,1.500380776,4.218814467,6.863365124,6.57490741,0
21.52034779,3.076087542,-0.254379797,38.51140667,6.132605816,1.642112932,1.247303128,1.822671554,-2.425205284,1
14.64453254,3.816710926,0.209178959,31.26872705,7.979579349,1.007202107,1.715125278,2.05801346,1.474467082,0
12.42823452,1.812855252,1.23217071,29.22044711,4.180284673,3.119518011,1.963541247,2.38195579,2.622376525,1
15.03210113,2.514051766,-1.589325748,33.68992942,6.371149148,4.083845854,1.81820063,2.856503886,-2.880099152,1
7.587808862,0.583706883,0.202020937,25.35767457,2.272953797,0.837919223,3.085796396,4.868212884,5.368688473,0
13.06560184,1.315468392,0.012102132,32.19827922,3.498778519,1.198140371,2.076603501,2.820510928,-2.271438524,0
13.09903868,1.765155774,-1.135846295,30.44089044,4.244203367,2.81330176,1.916665372,2.493395512,-2.580116659,1
14.82200059,2.013013648,-1.036479768,33.71551359,4.946423426,2.551212321,1.852386751,2.511394543,-2.51074819,1
24.92757019,3.550242768,0.564287327,40.06631579,6.428831172,1.703035122,1.006779348,1.619690377,2.12682721,0
13.95997448,2.317974046,0.796678911,31.93537296,5.620012454,2.317712854,1.875636249,2.368260471,3.103057267,0
4.904844055,0.432841778,0.098326532,20.66295262,2.185307764,0.628922952,4.027468968,6.451991077,5.912353813,0
16.32457086,4.563155677,-2.46718833,33.96550205,9.84243534,5.346617912,1.611695648,1.86563757,-1.847313031,0
23.80405742,3.385714521,0.827333344,39.54002079,6.038932804,2.55913252,1.074479372,1.589588618,1.585012398,0
18.043392,3.508554971,0.097793478,35.30504052,6.810488965,2.051735513,1.464585948,1.694632293,0.00648588,0
21.23056524,2.008399,0.944235484,38.74642088,4.238339,2.076820734,1.291529031,2.134653404,2.401819066,1
6.746768163,0.730415203,0.250003686,23.81931834,2.858889174,1.526249576,3.284498729,4.419025804,6.023227301,1
1.074356878,0.161640654,0.054098925,9.522760656,1.201804623,0.578915423,9.023759565,9.860382143,13.95965767,0
24.08506803,4.480029122,2.039555206,38.62523809,7.335111747,3.895011386,1.001955447,1.34340807,1.944552,0
13.23445361,2.32111703,0.843935995,31.07949838,5.650131927,2.335700399,1.946921993,2.350034579,2.88199622,1
19.30024154,1.842403019,-0.334683537,37.57174641,4.136751869,1.337723781,1.451256124,2.373190132,-2.213158152,1
11.44786671,0.864751688,0.336924468,30.22420336,2.151125239,1.161647986,2.303404948,3.095232083,4.583990324,0
20.23780038,5.34921767,-0.390446459,34.62585279,8.251179754,1.609900476,1.165583095,1.360395139,-1.435234068,1
20.32775951,6.72812893,4.017095752,34.24169566,11.11290204,6.964655921,1.117109817,1.2326395,1.415089152,0
20.91784096,1.700168702,-0.598620871,39.07066585,4.089861313,2.523677239,1.350682465,2.778892949,-1.76242363,1
18.48974119,2.461409589,-0.259323976,36.33814184,5.058186429,1.518592339,1.483282297,2.141901468,-2.885446431,1
24.64190704,4.397456089,0.878253283,39.21079027,7.005403016,2.447990141,0.984945059,1.322526718,2.187088596,0
19.34676243,1.703531353,-0.629744558,36.3359159,3.75163514,1.824143252,1.364429964,2.40175886,-2.937503963,1
12.6605426,4.397983557,1.751659705,28.9120843,9.861943436,4.340666443,1.877005975,1.989287136,2.561551963,0
8.502432761,2.004298238,-0.415749831,25.32795152,6.129223628,1.800434992,2.704967555,3.452645399,-4.206555464,0
24.77750864,4.484825698,1.939197025,38.06899055,6.515626481,3.335400473,0.909897182,1.158268395,1.865053349,1
10.33681966,1.071863726,0.301162894,28.92267014,3.35131986,1.901693227,2.469612576,3.571649429,4.24861243,1
11.04660569,1.551439761,-0.961581581,29.03872978,4.478575752,2.823464858,2.273099435,3.094286259,-3.099462491,0
