Feature,Importance
std_b,0.0782
mean_b,0.0556
directionality_tamura,0.0550
contrast_tamura,0.0521
LRE_deg0,0.0500
RP_deg90,0.0401
skew_b,0.0396
LRHGLE_deg0,0.0351
std_lbp,0.0350
LRE_deg90,0.0340
coarseness_tamura,0.0304
GLN_deg45,0.0303
std_a,0.0296
RLN_deg135,0.0287
SRE_deg90,0.0284
mean_a,0.0265
mean_lbp,0.0249
roughness_tamura,0.0247
LRE_deg45,0.0243
skew_a,0.0224
LRE_deg135,0.0208
GLN_deg90,0.0171
skewness_lbp,0.0161
skew_l,0.0154
LRHGLE_deg90,0.0150
SRLGLE_deg0,0.0148
LRHGLE_deg135,0.0144
GLN_deg0,0.0128
std_l,0.0123
RLN_deg90,0.0108
RLN_deg45,0.0096
SRHGLE_deg90,0.0092
RP_deg0,0.0090
SRE_deg0,0.0081
GLN_deg135,0.0077
SRE_deg45,0.0068
RLN_deg0,0.0063
SRHGLE_deg0,0.0063
SRLGLE_deg135,0.0054
SRLGLE_deg45,0.0048
RP_deg135,0.0047
LGLRE_deg0,0.0045
LGLRE_deg90,0.0043
LRHGLE_deg45,0.0037
SRHGLE_deg135,0.0035
LGLRE_deg135,0.0035
mean_l,0.0033
HGL_deg45,0.0026
RP_deg45,0.0022
SRE_deg135,0.0000
LRLGLE_deg90,0.0000
SRLGLE_deg90,0.0000
HGL_deg90,0.0000
LRLGLE_deg45,0.0000
SRHGLE_deg45,0.0000
HGL_deg135,0.0000
LGLRE_deg45,0.0000
LRLGLE_deg135,0.0000
LRLGLE_deg0,0.0000
HGL_deg0,0.0000
kurtosis_lbp,0.0000
median_lbp,0.0000
