Feature,Importance
LRE_deg45,0.05885820750885834
LRE_deg135,0.056287555743706905
std_b,0.05549561350212079
GLN_deg45,0.05303889839710099
mean_b,0.04984033021915806
SRE_deg0,0.04639337819840045
RP_deg90,0.04178072068176641
LRHGLE_deg0,0.04115410218973539
SRE_deg90,0.03737523304963565
LRE_deg90,0.03304965287510957
SRLGLE_deg0,0.028729421399708712
LRE_deg0,0.026802413555685013
directionality_tamura,0.026356964727857868
std_lbp,0.02634661708090356
GLN_deg0,0.02476291632220402
coarseness_tamura,0.02389311553548184
LGLRE_deg0,0.02312099754750839
GLN_deg90,0.022938570730932382
skew_r,0.022417827864194724
std_g,0.021886402008856616
mean_lbp,0.021850893798809844
std_r,0.020273092640971626
RP_deg0,0.02011920941811693
roughness_tamura,0.01887857857672629
GLN_deg135,0.0178514179210553
RLN_deg135,0.017480714671667157
LRHGLE_deg90,0.01452068212405929
skewness_lbp,0.014285455068718441
RLN_deg0,0.01396930794171414
skew_b,0.013549233851184858
SRHGLE_deg90,0.013521458227903507
contrast_tamura,0.013237983010866624
RP_deg135,0.012449436379169222
mean_g,0.008918008697130256
LGLRE_deg45,0.007784646772944886
SRE_deg135,0.007678184114362519
HGL_deg45,0.007391075471411182
SRLGLE_deg45,0.007249443711880413
LGLRE_deg90,0.007116285305061831
kurtosis_lbp,0.005825218486595777
SRE_deg45,0.005233305600473155
SRHGLE_deg0,0.005161087088177276
LRHGLE_deg135,0.0051263419820738905
LRHGLE_deg45,0.0
LGLRE_deg135,0.0
skew_g,0.0
median_lbp,0.0
LRLGLE_deg135,0.0
SRHGLE_deg135,0.0
SRLGLE_deg135,0.0
HGL_deg135,0.0
LRLGLE_deg0,0.0
HGL_deg0,0.0
LRLGLE_deg45,0.0
RLN_deg45,0.0
RP_deg45,0.0
LRLGLE_deg90,0.0
SRLGLE_deg90,0.0
HGL_deg90,0.0
SRHGLE_deg45,0.0
RLN_deg90,0.0
mean_r,0.0
