Feature,Importance
directionality_tamura,0.0721
coarseness_tamura,0.0552
LRE_deg0,0.0459
SRLGLE_deg0,0.0424
roughness_tamura,0.0423
LRE_deg90,0.0383
SRE_deg90,0.0359
LRHGLE_deg0,0.0343
contrast_tamura,0.0340
RP_deg90,0.0312
SRE_deg0,0.0301
LRE_deg135,0.0288
GLN_deg45,0.0255
SRHGLE_deg0,0.0251
SRE_deg135,0.0243
SRE_deg45,0.0240
GLN_deg0,0.0240
LRHGLE_deg90,0.0233
LRHGLE_deg45,0.0229
skewness_lbp,0.0226
RLN_deg135,0.0204
GLN_deg90,0.0204
std_lbp,0.0185
LGLRE_deg0,0.0172
mean_lbp,0.0170
RLN_deg0,0.0165
SRLGLE_deg135,0.0164
SRHGLE_deg90,0.0158
LRE_deg45,0.0155
RLN_deg45,0.0151
GLN_deg135,0.0138
LGLRE_deg45,0.0135
LGLRE_deg90,0.0123
RLN_deg90,0.0122
SRLGLE_deg45,0.0119
HGL_deg45,0.0117
RP_deg0,0.0107
LRHGLE_deg135,0.0094
LGLRE_deg135,0.0089
SRHGLE_deg135,0.0077
SRLGLE_deg90,0.0066
SRHGLE_deg45,0.0061
HGL_deg90,0.0053
HGL_deg0,0.0039
RP_deg45,0.0036
kurtosis_lbp,0.0031
RP_deg135,0.0023
HGL_deg135,0.0022
LRLGLE_deg45,0.0000
median_lbp,0.0000
LRLGLE_deg135,0.0000
LRLGLE_deg0,0.0000
LRLGLE_deg90,0.0000
