Feature,Importance
directionality_tamura,0.0687
std_u,0.0627
skew_u,0.0613
LRE_deg0,0.0398
mean_u,0.0382
SRE_deg0,0.0369
std_y,0.0360
std_v,0.0334
SRLGLE_deg0,0.0316
coarseness_tamura,0.0305
LRHGLE_deg90,0.0289
contrast_tamura,0.0280
SRE_deg90,0.0246
LRHGLE_deg0,0.0234
SRE_deg45,0.0225
LRE_deg90,0.0217
std_lbp,0.0216
roughness_tamura,0.0213
RLN_deg0,0.0199
LRE_deg45,0.0195
mean_v,0.0192
LRE_deg135,0.0187
RP_deg0,0.0181
GLN_deg45,0.0176
GLN_deg0,0.0171
RLN_deg90,0.0169
GLN_deg90,0.0156
SRHGLE_deg90,0.0153
SRE_deg135,0.0143
LRHGLE_deg45,0.0137
RP_deg90,0.0133
LRHGLE_deg135,0.0130
RLN_deg135,0.0108
HGL_deg90,0.0105
RLN_deg45,0.0099
RP_deg135,0.0095
SRHGLE_deg0,0.0089
LGLRE_deg90,0.0089
skew_y,0.0085
mean_lbp,0.0081
SRLGLE_deg45,0.0075
RP_deg45,0.0073
LGLRE_deg135,0.0069
skewness_lbp,0.0067
SRHGLE_deg135,0.0052
SRLGLE_deg135,0.0045
kurtosis_lbp,0.0037
SRLGLE_deg90,0.0035
mean_y,0.0031
GLN_deg135,0.0030
HGL_deg0,0.0026
LGLRE_deg0,0.0024
skew_v,0.0021
HGL_deg135,0.0017
SRHGLE_deg45,0.0008
LGLRE_deg45,0.0004
LRLGLE_deg90,0.0000
LRLGLE_deg45,0.0000
LRLGLE_deg0,0.0000
LRLGLE_deg135,0.0000
median_lbp,0.0000
HGL_deg45,0.0000
