mean_l,mean_b,std_l,skew_l,skew_a,label
17.37988834,1.456394011,36.14235307,1.612224764,2.567197786,0
8.291838139,0.562491726,26.39976444,2.895090961,4.681645696,0
4.688622002,0.120562813,20.45365429,4.179763155,7.543347157,1
4.526305624,0.114901703,20.13608983,4.273120434,8.140272322,0
15.92707183,-2.003372642,33.72165246,1.67428235,2.317111155,1
10.58560145,0.920579027,28.75762629,2.381309248,3.089329436,0
19.99816989,-0.579181816,37.40980206,1.359232788,1.845509387,1
19.29074847,-2.049575419,36.24492285,1.369390469,2.259139545,1
8.039042813,0.583626599,25.48147371,2.885298493,3.648860033,1
25.08573571,0.043246871,42.10011097,1.098823498,2.777759754,1
3.051707264,0.133654467,16.00353718,5.200354182,6.569669927,0
16.04471005,-0.235977288,35.44766801,1.776648451,3.197063278,0
10.85974555,-0.03609526,29.67169735,2.394276551,3.860844003,0
6.207526756,0.194601652,23.45850943,3.55015615,7.426221985,0
13.33802395,1.400047581,30.68655395,1.906524048,2.282117096,0
20.03994204,-0.674313607,36.0367565,1.274731424,1.635289121,1
7.479275896,0.771025036,24.72902011,3.059185296,4.445901356,0
8.772204014,-0.043943126,27.46394861,2.833325893,4.566036937,0
22.97930104,1.300829962,36.83660539,0.997282896,1.111839521,0
2.636898322,0.14378948,14.92575175,5.645377182,7.322301368,0
19.01351022,1.333148824,36.62476845,1.426697125,1.87118135,1
21.06244637,-2.253237994,37.24859479,1.224848794,1.584495077,0
4.437615993,-0.214632791,19.80101407,4.285768628,6.087333901,0
24.42889881,3.792123781,36.06677223,0.815061232,0.904106763,0
25.18398208,0.004304988,41.95981811,1.077665556,2.49928639,1
25.54467777,1.016396451,42.1191012,1.05626269,2.651316854,1
14.11570966,0.911271924,33.03075406,1.936776565,3.001971402,1
26.76114504,1.350926198,41.50581753,0.915906291,1.413085204,0
2.918531527,-0.01673831,15.78904259,5.355487192,5.821079135,0
24.55845775,0.809342666,40.91731903,1.082848128,1.773715634,1
3.213252812,0.166126827,17.03022058,5.173797535,8.434234974,0
14.23399483,0.435107724,31.74059629,1.806909743,2.141015481,1
13.54330944,0.800177871,30.72277425,1.864245051,2.289944603,0
8.704941038,-0.851235473,26.35375714,2.743238921,3.945787513,0
11.10906307,-0.334057732,29.51528814,2.311118722,3.03479232,1
26.50022619,2.799222373,39.45842319,0.831894478,1.059768023,0
19.13278504,-2.536534863,35.83123049,1.360740235,1.726257881,1
15.41949078,-1.078513757,34.11570375,1.773792019,2.365367545,0
32.38136208,1.606936914,44.87982277,0.669621607,1.578800187,0
13.92209426,0.688002894,31.54712919,1.858853956,2.370564867,0
11.44708441,-1.282608369,26.67465145,1.942535848,2.210523504,0
29.76598567,-4.024957959,42.50220838,0.735751902,1.067160763,1
4.508648855,0.27418701,19.67962223,4.218814467,6.863365124,0
21.52034779,-0.254379797,38.51140667,1.247303128,1.822671554,1
14.64453254,0.209178959,31.26872705,1.715125278,2.05801346,0
12.42823452,1.23217071,29.22044711,1.963541247,2.38195579,1
15.03210113,-1.589325748,33.68992942,1.81820063,2.856503886,1
7.587808862,0.202020937,25.35767457,3.085796396,4.868212884,0
13.06560184,0.012102132,32.19827922,2.076603501,2.820510928,0
13.09903868,-1.135846295,30.44089044,1.916665372,2.493395512,1
14.82200059,-1.036479768,33.71551359,1.852386751,2.511394543,1
24.92757019,0.564287327,40.06631579,1.006779348,1.619690377,0
13.95997448,0.796678911,31.93537296,1.875636249,2.368260471,0
4.904844055,0.098326532,20.66295262,4.027468968,6.451991077,0
16.32457086,-2.46718833,33.96550205,1.611695648,1.86563757,0
23.80405742,0.827333344,39.54002079,1.074479372,1.589588618,0
18.043392,0.097793478,35.30504052,1.464585948,1.694632293,0
21.23056524,0.944235484,38.74642088,1.291529031,2.134653404,1
6.746768163,0.250003686,23.81931834,3.284498729,4.419025804,1
1.074356878,0.054098925,9.522760656,9.023759565,9.860382143,0
24.08506803,2.039555206,38.62523809,1.001955447,1.34340807,0
13.23445361,0.843935995,31.07949838,1.946921993,2.350034579,1
19.30024154,-0.334683537,37.57174641,1.451256124,2.373190132,1
11.44786671,0.336924468,30.22420336,2.303404948,3.095232083,0
20.23780038,-0.390446459,34.62585279,1.165583095,1.360395139,1
20.32775951,4.017095752,34.24169566,1.117109817,1.2326395,0
20.91784096,-0.598620871,39.07066585,1.350682465,2.778892949,1
18.48974119,-0.259323976,36.33814184,1.483282297,2.141901468,1
24.64190704,0.878253283,39.21079027,0.984945059,1.322526718,0
19.34676243,-0.629744558,36.3359159,1.364429964,2.40175886,1
12.6605426,1.751659705,28.9120843,1.877005975,1.989287136,0
8.502432761,-0.415749831,25.32795152,2.704967555,3.452645399,0
24.77750864,1.939197025,38.06899055,0.909897182,1.158268395,1
10.33681966,0.301162894,28.92267014,2.469612576,3.571649429,1
11.04660569,-0.961581581,29.03872978,2.273099435,3.094286259,0
26.5365059,-2.781866313,40.31013513,0.88076161,1.31069546,1
7.877983908,0.265157947,24.97307215,2.898979638,3.54603472,1
21.10269662,-0.104343227,39.6312814,1.356831171,2.588214972,1
10.44395542,1.002642421,26.82912056,2.233359192,2.543090564,0
4.131957372,-0.316880944,19.01392511,4.441298816,6.670632511,1
24.3341481,-0.779350036,40.28370969,1.068086124,2.106196233,1
15.97276718,0.003504074,34.65456555,1.739519734,2.582351931,0
12.43088563,-0.893301684,29.20817983,1.943629168,2.486728042,0
17.19662694,0.10322897,35.57839448,1.609305143,2.193740265,1
28.75554666,-0.061764943,42.63391319,0.820917646,1.419790426,1
4.991884756,0.784266306,20.01754448,3.837345518,4.867041923,0
9.691205289,0.948668224,26.26176905,2.389046898,2.756576775,0
9.209372294,0.423927195,26.74468252,2.613399952,3.423339722,1
8.495457329,-0.074739388,24.0558021,2.546386625,2.851898302,1
24.07123734,-1.530539435,39.79750689,1.061935181,1.523128117,0
8.586937321,-0.875983873,26.2593725,2.76566057,3.604631674,0
16.12062791,1.409972082,33.46676986,1.622723267,1.960427492,1
27.1597134,1.716641548,41.11201327,0.865556972,1.485822761,1
2.757747756,0.180426349,15.87058776,5.64202254,8.15637443,0
18.05660042,-2.614630326,34.1671368,1.388506034,1.679830942,1
17.41334521,-0.335962057,36.72050417,1.650153819,3.323285187,1
19.5663933,2.928717106,35.64713798,1.299474759,1.612331949,0
7.394505414,-0.448017488,24.8900294,3.106042609,4.443896499,1
13.84780311,1.397046936,31.26715738,1.84562597,2.217349257,0
15.84551087,0.634333334,33.30960688,1.648572874,2.28108489,1
19.4209247,0.774219392,36.83840352,1.386980662,1.814997707,1
9.043444093,0.785636617,27.59714229,2.748812764,4.210753662,0
10.65502043,0.535619573,28.86472988,2.379619009,3.518562333,0
8.471752197,1.278741443,25.07629351,2.672404892,3.093552783,0
27.90555624,1.105450162,40.99228273,0.80809857,1.224077967,1
25.5387504,3.86867751,37.61085955,0.820973262,0.986154646,0
18.4010458,0.895225632,36.96975582,1.526170439,2.82350809,1
19.4963647,1.931044946,35.40520993,1.289867528,1.527163802,1
4.906198198,0.225087987,20.73241336,4.046368528,7.485997349,0
8.030158403,0.130972247,25.90961552,2.960406485,4.807295697,0
20.03965187,-2.474080304,37.45409868,1.343592377,1.740268736,0
29.33820251,-3.812677212,42.45701354,0.770509501,1.31779955,1
3.847157136,0.159451223,17.83979132,4.505443085,6.034480199,0
9.568568725,0.640486434,25.78964866,2.373240413,2.593270233,0
15.33284773,-0.002341314,33.78702524,1.771829421,2.454806044,1
26.49758313,-3.3415294,41.11727957,0.926259316,1.511601512,1
12.87231252,0.661877051,29.79201352,1.921109771,2.226050304,0
6.53889733,0.40577235,24.12485887,3.440069707,6.815875131,0
11.0925695,0.543539221,30.25409235,2.391239217,4.766850012,0
15.4194541,-0.226500277,34.75562195,1.823149393,2.603131188,0
30.00872258,-4.40853336,41.17873874,0.659089564,0.967046923,1
8.570378214,0.165009717,27.04447748,2.874209469,5.295394754,0
26.10379291,-0.736987108,41.71191437,0.982314349,1.645977145,1
23.55375629,1.054217344,41.1298966,1.183769199,2.593980784,1
31.58138,-5.676001252,41.19983589,0.552306996,0.7371151,0
10.66376368,-1.072342514,28.29425234,2.329218546,3.017829462,1
18.62789641,0.16803009,37.2952173,1.530402059,2.835905286,1
12.69838172,-0.051868302,31.32095466,2.085203882,2.729674856,0
25.89490695,-3.005963994,40.11989746,0.919085229,1.261099815,0
