Feature,Importance
std_lbp,0.2547
contrast_tamura,0.1102
mean_g,0.0567
std_b,0.0514
std_r,0.0455
SRLGLE_deg0,0.0394
SRE_deg0,0.0370
GLN_deg45,0.0313
SRE_deg90,0.0286
directionality_tamura,0.0264
LRE_deg0,0.0261
RLN_deg135,0.0257
LRHGLE_deg0,0.0229
mean_b,0.0222
LGLRE_deg135,0.0217
RLN_deg90,0.0202
LRE_deg45,0.0201
LGLRE_deg0,0.0188
mean_lbp,0.0182
LRE_deg90,0.0155
std_g,0.0153
mean_r,0.0142
LRHGLE_deg135,0.0135
coarseness_tamura,0.0135
LRHGLE_deg45,0.0126
SRHGLE_deg0,0.0120
LRE_deg135,0.0091
LRHGLE_deg90,0.0078
LGLRE_deg90,0.0061
RP_deg0,0.0033
LGLRE_deg45,0.0000
