mean_lbp,std_lbp,LGLRE_deg0,SRLGLE_deg0,SRHGLE_deg0,LRHGLE_deg0,directionality_tamura,label
223.6087528,68.9421107,0.148212131,0.093952234,29777.54302,71078.89671,471.0761905,0
235.9054713,55.83417744,0.18627377,0.122195617,25902.40014,43708.77169,449.2782495,0
239.0790329,52.10869268,0.265335348,0.16569347,18841.72144,29026.70655,457.9144626,1
238.7957737,52.39873842,0.282543219,0.174451936,16401.76624,42603.44941,560.5732899,0
215.3325654,75.36502775,0.18385959,0.119940438,22036.04293,40367.92332,508.7139819,1
223.5249614,70.00748199,0.219165356,0.137718236,20049.95231,29374.04141,501.9583006,0
201.7490139,85.03243475,0.194608251,0.130977634,23637.29389,32113.25351,250.8501785,1
212.8369616,77.60014656,0.171803206,0.110799009,23184.59256,141747.5558,564.3913787,1
234.5406389,57.90071689,0.201842145,0.1333315,21325.04477,38590.27886,466.5026909,1
195.1679213,87.7446796,0.222482594,0.146673962,24276.27634,62941.28555,545.8852713,1
232.1479848,61.11334818,0.335362376,0.207629191,8301.338775,9813.698121,562.4368987,0
222.0175439,71.45867381,0.170464972,0.119482417,26474.14334,175225.0588,444.5167581,0
225.6109092,67.72120067,0.236066138,0.145383266,20337.17378,42595.75928,452.7575732,0
236.8509814,55.05444969,0.260706099,0.158445285,19177.5695,50885.5164,556.8443219,0
213.4180599,77.41806896,0.207086319,0.138885303,17710.24508,28315.18967,255.3588886,0
199.9069385,85.59639066,0.174126914,0.120257073,21237.39719,29628.79536,613.5825192,1
226.180114,67.1986851,0.272151983,0.168926982,15522.8786,22366.96226,554.8336595,0
233.9023575,58.72260246,0.215791586,0.129421861,24048.99268,71262.07773,650.7633999,0
206.5245401,81.12190766,0.124445002,0.085300763,24503.34179,41291.86304,477.1275507,0
234.9348324,57.78765587,0.337512312,0.209483825,8006.460787,9735.099696,556.4383314,0
214.8363989,76.08017089,0.16437602,0.107693067,24923.46741,57307.29863,473.1151267,1
208.1181084,80.17173016,0.15991136,0.106151793,24000.19616,49502.89235,587.5547732,0
239.5160689,51.40024314,0.262073418,0.162567278,17744.68865,28259.83948,560.9243407,0
206.6474793,79.61881295,0.117617777,0.078218926,21481.74785,49504.49098,598.5803301,0
214.1714463,75.89483513,0.161043149,0.100882635,29142.64326,427442.837,511.1170349,1
207.2784964,80.97691424,0.178481414,0.115976423,28106.72143,127465.9434,237.2087604,1
218.4583091,73.87542189,0.207104449,0.132418085,23145.34819,37144.97372,477.0169957,1
216.1390189,73.69507239,0.107616468,0.069851644,31399.68913,110780.7644,224.9193314,0
236.5257124,56.32779287,0.304111863,0.201726607,10395.20829,11752.87547,605.3269717,0
198.9331966,85.7524666,0.203819807,0.131938995,24354.52476,116691.7042,592.4415138,1
242.1674632,47.34949551,0.282536419,0.178520334,15931.03292,23513.13723,455.8315448,0
217.062623,74.1592102,0.21731304,0.137930341,17905.78941,38320.301,450.7139883,1
210.6592922,78.90538072,0.227334378,0.149707287,16174.254,25691.85047,474.1661938,0
228.0133415,65.29775835,0.2234402,0.140645582,18882.49165,31137.99778,613.6424661,0
223.3976845,69.6819052,0.216784217,0.137423209,20629.18992,32561.75744,593.3956674,1
211.8104851,76.47488289,0.117593147,0.076844055,25454.34177,84542.85121,566.6146686,0
218.0728891,72.74022451,0.163599236,0.104727888,22489.42791,76292.96882,586.1976178,1
233.1242903,58.41037129,0.120635063,0.078413064,28197.66761,213907.3207,600.0856711,0
217.9626866,71.44563266,0.096020499,0.060764062,31435.86494,186844.278,488.4586833,0
223.3592008,69.34711561,0.15458642,0.105855758,23681.6988,40539.131,459.4076914,0
