Feature,Importance
coarseness_tamura,0.08814696514414125
directionality_tamura,0.061095526300266004
skew_b,0.054721378298681934
std_b,0.050187848511582374
SRE_deg135,0.04710811383256839
LRE_deg90,0.039578813388856486
SRHGLE_deg0,0.03889623128664646
mean_a,0.03773214133067498
LRE_deg45,0.03765632661330035
SRLGLE_deg90,0.03638598390158297
skew_a,0.03624094189144837
SRE_deg90,0.035152960728544284
SRE_deg0,0.03510414267263527
mean_b,0.030958887189952777
LRHGLE_deg45,0.030914450056683026
LRHGLE_deg90,0.026112895435588472
SRE_deg45,0.025742566773496935
std_a,0.024702499277684555
SRLGLE_deg135,0.024438706364482508
LRE_deg0,0.022773001576213255
roughness_tamura,0.02207171741240684
SRLGLE_deg0,0.017677377022375936
RLN_deg90,0.016770076062891073
skewness_lbp,0.015462430947745118
GLN_deg135,0.014646100294858926
LRHGLE_deg0,0.014161804808935427
GLN_deg0,0.013764607706617643
RP_deg90,0.0130287136044077
LRE_deg135,0.012282268658413097
LGLRE_deg45,0.008939027056283374
std_l,0.008266597230847484
mean_l,0.0082116460080319
RLN_deg135,0.006460147425221887
GLN_deg45,0.00533411107896631
SRLGLE_deg45,0.004692395584157153
RLN_deg0,0.004674620723996851
RLN_deg45,0.003960566501040507
LGLRE_deg0,0.0033110896516872585
GLN_deg90,0.0029970071635066872
LGLRE_deg135,0.0026512497771752934
skew_l,0.0026307579641526597
contrast_tamura,0.0025252727646572167
SRHGLE_deg90,0.0024854449750181403
SRHGLE_deg135,0.0016667915072979761
HGL_deg0,0.0015753781447869627
HGL_deg90,0.0013838735412246114
SRHGLE_deg45,0.0010000098646668462
mean_lbp,0.0008810189038349542
LGLRE_deg90,0.000668232049113226
RP_deg45,0.0004632848702229014
LRHGLE_deg135,0.0003761431956976223
RP_deg0,0.00032848695107737626
kurtosis_lbp,0.00031567696705168046
std_lbp,0.00028086053516420886
RP_deg135,0.0001701265669626871
HGL_deg45,0.00012705859655428304
median_lbp,7.509581246987229e-05
HGL_deg135,3.255149544954908e-05
LRLGLE_deg135,0.0
LRLGLE_deg45,0.0
LRLGLE_deg90,0.0
LRLGLE_deg0,0.0
