Feature,Importance
LRE_deg90,0.10887599994590298
std_b,0.05673464690456427
coarseness_tamura,0.049390135221981664
skew_b,0.043564483496775296
std_a,0.04051239914470223
RLN_deg135,0.04040156500863621
LRE_deg45,0.03653691585106736
directionality_tamura,0.036418190865113956
RP_deg90,0.03567520686457275
SRLGLE_deg0,0.03306162982539564
mean_a,0.03227690446526193
SRE_deg135,0.030601294218635673
LRHGLE_deg90,0.028698775476789753
skew_l,0.026277987034865686
LRHGLE_deg0,0.026064932625057075
SRHGLE_deg90,0.024852692124101995
mean_b,0.023923124009993153
SRHGLE_deg0,0.020844269446497678
RLN_deg90,0.02029763004461542
GLN_deg0,0.02011559025755901
LRHGLE_deg45,0.018983618867886368
GLN_deg90,0.016283115110431498
SRE_deg90,0.015765968631082507
RLN_deg45,0.015108225697091495
SRLGLE_deg135,0.014536291974326382
roughness_tamura,0.013577512604734604
LRE_deg0,0.012307962721685878
std_l,0.012118009991642163
LGLRE_deg0,0.0117765343300831
SRLGLE_deg45,0.01108306024020718
mean_l,0.01096027375342489
LRE_deg135,0.01095572658391583
skew_a,0.010894206667055787
SRE_deg0,0.009886974550759379
SRHGLE_deg45,0.007863020955228438
LRHGLE_deg135,0.006746251474922008
SRE_deg45,0.0061271492241940775
LGLRE_deg90,0.005416168882922638
skewness_lbp,0.005354507327152644
HGL_deg135,0.0051071343002907985
GLN_deg135,0.004585412849236146
HGL_deg45,0.004379498778059891
GLN_deg45,0.004318933825225462
RLN_deg0,0.004116301776761214
HGL_deg90,0.00402416226776295
SRLGLE_deg90,0.003708390179954965
HGL_deg0,0.003655932068908713
kurtosis_lbp,0.003625727865570672
mean_lbp,0.00230844231898751
SRHGLE_deg135,0.0022544722646348405
LGLRE_deg135,0.002007340330223115
RP_deg135,0.00199703697983993
contrast_tamura,0.0011495349831776175
LGLRE_deg45,0.0011186932067900168
RP_deg0,0.0003251406596865603
RP_deg45,0.00023055063379440557
std_lbp,0.00021834229025875226
LRLGLE_deg0,0.0
median_lbp,0.0
LRLGLE_deg135,0.0
LRLGLE_deg90,0.0
LRLGLE_deg45,0.0
