Feature,Importance
std_u,0.08269884214768493
LRE_deg90,0.07939631625612807
SRHGLE_deg90,0.055542468839988944
RLN_deg135,0.05218404957435873
SRLGLE_deg0,0.0469988939999847
SRE_deg135,0.046096051030751185
RP_deg90,0.045778319827122514
skew_y,0.04084085920031817
LRHGLE_deg90,0.0407118779926876
coarseness_tamura,0.03987613231780206
SRHGLE_deg0,0.036586067589624974
LRHGLE_deg0,0.035596095892196866
GLN_deg90,0.03350066476356743
mean_u,0.032120693168343775
RLN_deg90,0.030607515334717776
GLN_deg0,0.029411994137113383
mean_v,0.02563384450589812
LGLRE_deg0,0.02286961103854911
std_v,0.018689352338384577
SRHGLE_deg45,0.014934152143214557
skew_u,0.014140108272432327
SRLGLE_deg135,0.012982258354984816
LRE_deg135,0.012246956205991947
LRE_deg0,0.012192380898382493
directionality_tamura,0.012034151853027253
HGL_deg45,0.01200267317690235
std_y,0.011181073612237264
skew_v,0.010761128330273527
LRHGLE_deg45,0.010175429655899963
SRE_deg0,0.010088239753549387
RP_deg0,0.008616513948245072
roughness_tamura,0.008565883327024038
GLN_deg45,0.007977621170321362
HGL_deg135,0.005633707438959985
SRLGLE_deg45,0.005319499688311428
SRE_deg90,0.004628743054026312
RLN_deg45,0.0045580174728237334
LGLRE_deg135,0.0045084293144761955
SRLGLE_deg90,0.004235775326494032
LRE_deg45,0.004221342238249447
LRHGLE_deg135,0.0041977388226877325
GLN_deg135,0.0029076188695874496
kurtosis_lbp,0.002144292157226601
HGL_deg90,0.001743058454648308
LGLRE_deg90,0.0016874067329466396
std_lbp,0.0008049949303231384
RP_deg135,0.0003711548415294867
LRLGLE_deg135,0.0
SRHGLE_deg135,0.0
median_lbp,0.0
contrast_tamura,0.0
mean_lbp,0.0
RLN_deg0,0.0
skewness_lbp,0.0
LGLRE_deg45,0.0
HGL_deg0,0.0
LRLGLE_deg90,0.0
LRLGLE_deg0,0.0
SRE_deg45,0.0
RP_deg45,0.0
LRLGLE_deg45,0.0
mean_y,0.0
