Feature,Importance
RLN_deg135,0.17428295
RLN_deg45,0.0700506
RP_deg90,0.06780391
std_a,0.040350065
mean_a,0.03693509
LRHGLE_deg45,0.036275286
skew_b,0.03457223
mean_b,0.033443015
LRHGLE_deg0,0.030071203
mean_l,0.0269207
LGLRE_deg0,0.026885604
LRHGLE_deg90,0.025675224
SRHGLE_deg0,0.02524333
RLN_deg0,0.02489159
mean_lbp,0.024188511
std_b,0.022839172
skew_a,0.022648346
SRLGLE_deg135,0.020371959
SRLGLE_deg45,0.020148357
SRLGLE_deg0,0.019837406
coarseness_tamura,0.019682039
RLN_deg90,0.019565005
LRE_deg135,0.019155262
SRHGLE_deg90,0.019043857
LRE_deg90,0.019024167
GLN_deg0,0.018847475
GLN_deg45,0.018348882
SRE_deg0,0.016642971
LRE_deg0,0.015668793
SRE_deg90,0.01359788
GLN_deg90,0.013373754
LRE_deg45,0.012274294
directionality_tamura,0.01134097
SRE_deg135,0.0
HGL_deg0,0.0
std_lbp,0.0
SRE_deg45,0.0
