Feature,Importance
RP_deg90,0.19561815
RLN_deg135,0.14152694
std_v,0.072026506
LRHGLE_deg45,0.06252994
LGLRE_deg45,0.055057213
mean_u,0.052424848
SRHGLE_deg90,0.043776844
SRLGLE_deg0,0.038166683
RLN_deg90,0.03049296
coarseness_tamura,0.02931362
LRHGLE_deg0,0.027638575
SRLGLE_deg45,0.027157027
SRE_deg135,0.02594703
std_u,0.024508344
LRE_deg90,0.021511061
LRE_deg0,0.017508918
roughness_tamura,0.017386513
LRHGLE_deg90,0.016985467
LRE_deg45,0.015931519
SRE_deg90,0.015146598
SRE_deg45,0.013926643
GLN_deg45,0.013278139
LGLRE_deg0,0.0131543735
GLN_deg90,0.011639155
skew_u,0.008955552
GLN_deg0,0.008391451
mean_lbp,0.0
mean_v,0.0
SRHGLE_deg0,0.0
HGL_deg0,0.0
LRE_deg135,0.0
GLN_deg135,0.0
directionality_tamura,0.0
SRE_deg0,0.0
