Feature,Importance
std_u,0.134256851311551
coarseness_tamura,0.12874203789886532
skewness_lbp,0.06743087646074515
RP_deg90,0.06306208632315387
mean_u,0.06190021400107528
LRE_deg135,0.04809960403858011
skew_u,0.04765925840354236
SRLGLE_deg0,0.047286183105592294
LRE_deg0,0.04513690797987577
LRHGLE_deg0,0.0356433357716234
directionality_tamura,0.03391476210860858
SRE_deg0,0.03160190766920193
mean_v,0.030415501371454406
GLN_deg45,0.030068362112142658
GLN_deg0,0.029520914463125044
LRHGLE_deg90,0.02743273156601596
skew_v,0.02461868363144278
RLN_deg135,0.023978898002748904
LRE_deg90,0.014279366129844664
std_v,0.010961847636256662
SRE_deg135,0.009856977938728377
GLN_deg90,0.009280778118766347
SRE_deg90,0.009043375770785905
skew_y,0.006386872853903545
SRLGLE_deg45,0.004521541098901688
GLN_deg135,0.003857361180494864
std_y,0.003477387740218477
SRHGLE_deg135,0.0025722600773018097
std_lbp,0.002203296536622832
HGL_deg135,0.002080000424900601
SRE_deg45,0.0019634182850489677
RLN_deg90,0.001856158835862094
LRHGLE_deg135,0.0014369750550952047
LRHGLE_deg45,0.001042323268414485
RP_deg45,0.0008873858594864744
SRLGLE_deg90,0.0008208009923024649
SRHGLE_deg45,0.0007630002829134319
LGLRE_deg0,0.0006905609532666359
RLN_deg0,0.0004109453743304249
SRHGLE_deg90,0.00032437634840831237
LRE_deg45,0.0002900171408694387
HGL_deg45,0.00013658601664010985
LGLRE_deg135,2.929466684255834e-05
RLN_deg45,2.7615904174899888e-05
kurtosis_lbp,1.7507013139403428e-05
roughness_tamura,8.408730660623276e-06
LGLRE_deg90,2.0651336077074995e-06
SRLGLE_deg135,1.7264354609921782e-06
HGL_deg90,6.294373667244862e-07
RP_deg0,1.4281525617901702e-08
SRHGLE_deg0,8.25745703634692e-09
HGL_deg0,1.0462107819086792e-12
mean_y,9.711338441539905e-15
LRLGLE_deg90,0.0
LRLGLE_deg45,0.0
LGLRE_deg45,0.0
RP_deg135,0.0
LRLGLE_deg0,0.0
LRLGLE_deg135,0.0
median_lbp,0.0
contrast_tamura,0.0
mean_lbp,0.0
