Feature,Importance
SRLGLE_deg0,0.27811502247217507
std_a,0.1544991764920052
GLN_deg90,0.10038326301038596
mean_b,0.07311584094884749
SRE_deg90,0.062329035251681666
mean_lbp,0.051185712444689335
RLN_deg90,0.0494500670128755
SRE_deg45,0.04667042738137853
SRHGLE_deg0,0.041971423330820816
skew_l,0.03456948128041177
directionality_tamura,0.026459423344319315
std_lbp,0.021487506235332045
std_b,0.014464505108986513
LRE_deg135,0.010484404405732067
SRHGLE_deg90,0.010328590746438632
std_l,0.009887560001664459
LRE_deg0,0.00853350744087942
SRLGLE_deg45,0.006065053091376257
HGL_deg90,0.0
SRLGLE_deg90,0.0
LRLGLE_deg90,0.0
LRHGLE_deg90,0.0
RP_deg90,0.0
SRE_deg135,0.0
LGLRE_deg90,0.0
mean_l,0.0
GLN_deg135,0.0
RLN_deg135,0.0
RP_deg135,0.0
HGL_deg135,0.0
SRLGLE_deg135,0.0
SRHGLE_deg135,0.0
LRLGLE_deg135,0.0
LRHGLE_deg135,0.0
coarseness_tamura,0.0
contrast_tamura,0.0
LGLRE_deg135,0.0
HGL_deg45,0.0
LRE_deg90,0.0
LRHGLE_deg45,0.0
skew_a,0.0
skew_b,0.0
median_lbp,0.0
kurtosis_lbp,0.0
skewness_lbp,0.0
SRE_deg0,0.0
GLN_deg0,0.0
RLN_deg0,0.0
RP_deg0,0.0
LGLRE_deg0,0.0
HGL_deg0,0.0
LRLGLE_deg0,0.0
LRHGLE_deg0,0.0
LRE_deg45,0.0
GLN_deg45,0.0
RLN_deg45,0.0
RP_deg45,0.0
LGLRE_deg45,0.0
mean_a,0.0
SRHGLE_deg45,0.0
LRLGLE_deg45,0.0
roughness_tamura,0.0
