Feature,Importance
skew_u,0.05920118300628751
SRLGLE_deg0,0.058883329036894666
GLN_deg90,0.05752951863256756
directionality_tamura,0.05138240154389576
mean_u,0.04867055354993373
SRE_deg45,0.04852910976093068
std_u,0.04487507580994053
mean_lbp,0.04369615468612712
RLN_deg90,0.035470075710434174
coarseness_tamura,0.03316470095065462
SRLGLE_deg45,0.032892400013435616
SRE_deg0,0.031024143396321466
SRHGLE_deg90,0.028739150630895993
LRHGLE_deg90,0.027086082966590607
LRE_deg90,0.025117158136733365
LRE_deg0,0.024058293996132473
std_v,0.023741420504574583
SRHGLE_deg0,0.023223375777099552
std_lbp,0.021645458589390796
LRE_deg45,0.01907099234573823
LGLRE_deg0,0.018448473051037334
skewness_lbp,0.017488308138163204
SRE_deg90,0.016391682199783646
skew_y,0.01603624647923877
GLN_deg135,0.015315764851250803
std_y,0.015024720356784475
SRLGLE_deg90,0.013430889567729677
LGLRE_deg90,0.012419371617424256
skew_v,0.012214084929531766
GLN_deg45,0.009755234970385161
RP_deg135,0.009096715385055933
SRHGLE_deg45,0.008418768499948564
LGLRE_deg135,0.007853110644544227
SRLGLE_deg135,0.006807199415539801
RLN_deg45,0.006336576513476578
LRHGLE_deg0,0.005536108845692377
RP_deg90,0.005461301228925153
LGLRE_deg45,0.005455503024692402
SRE_deg135,0.005417740562129877
RLN_deg0,0.004947884363190899
LRHGLE_deg135,0.004829537993982045
roughness_tamura,0.004713550540832058
HGL_deg0,0.004631377934607564
RP_deg0,0.004170579920989947
LRE_deg135,0.0037900933119180387
GLN_deg0,0.0036028218607486915
RP_deg45,0.00346040563276827
kurtosis_lbp,0.002884905532125338
LRHGLE_deg45,0.0028089787206634033
SRHGLE_deg135,0.002675476019771244
HGL_deg90,0.002458855466326863
RLN_deg135,0.0023594924682730297
mean_y,0.0020904554665290877
mean_v,0.0019873425853054053
contrast_tamura,0.0017863403971191533
HGL_deg45,0.0010838412158289546
HGL_deg135,0.000809681243106979
LRLGLE_deg90,0.0
LRLGLE_deg45,0.0
LRLGLE_deg135,0.0
LRLGLE_deg0,0.0
median_lbp,0.0
