Feature,Importance
RP_deg0,0.06965764
mean_g,0.055531144
RLN_deg90,0.05092999
skewness_lbp,0.04825845
mean_lbp,0.047301512
std_lbp,0.047268733
SRE_deg45,0.046254154
LRE_deg90,0.04280723
std_b,0.041174278
SRE_deg90,0.039538797
SRE_deg0,0.037882112
HGL_deg0,0.031333175
SRHGLE_deg0,0.031040162
LGLRE_deg90,0.029587882
GLN_deg90,0.028398344
skew_b,0.027636986
LGLRE_deg45,0.024472041
LRHGLE_deg90,0.024268357
SRLGLE_deg45,0.023806425
RLN_deg45,0.022699878
GLN_deg45,0.022635609
SRLGLE_deg90,0.022589352
directionality_tamura,0.022416595
std_g,0.021460162
SRLGLE_deg0,0.021226343
LRE_deg45,0.020982856
contrast_tamura,0.020547917
LGLRE_deg0,0.020446297
LRHGLE_deg0,0.020446006
mean_r,0.019339932
coarseness_tamura,0.018061623
GLN_deg0,0.0
std_r,0.0
