Feature,Importance
RLN_deg45,0.05477699
RP_deg45,0.052944135
SRE_deg135,0.05019065
LGLRE_deg45,0.04603658
SRHGLE_deg135,0.043610077
RLN_deg90,0.042577296
RLN_deg0,0.040184334
std_lbp,0.039806303
SRE_deg45,0.036620457
SRE_deg90,0.036522247
std_y,0.032814324
mean_lbp,0.030516028
skewness_lbp,0.029750478
LRE_deg0,0.02855265
LGLRE_deg0,0.028347723
SRLGLE_deg45,0.027545495
SRHGLE_deg0,0.025870008
skew_u,0.025453864
GLN_deg90,0.024051288
mean_u,0.024028491
std_v,0.023532866
LRHGLE_deg90,0.023322301
std_u,0.02280049
LRHGLE_deg0,0.022491511
LRE_deg45,0.022474602
LRHGLE_deg45,0.022325063
GLN_deg45,0.022137914
HGL_deg90,0.0214162
SRE_deg0,0.021113193
GLN_deg0,0.020088848
SRLGLE_deg0,0.019533565
directionality_tamura,0.01942059
coarseness_tamura,0.019143391
LGLRE_deg90,0.0
