Feature,Importance
SRE_deg45,0.17449567
skewness_lbp,0.05962517
std_a,0.04812741
mean_b,0.04575376
skew_b,0.04566639
std_lbp,0.045054935
LGLRE_deg0,0.041484006
skew_l,0.041449945
mean_lbp,0.040450748
SRE_deg90,0.036944132
LRE_deg90,0.034756757
GLN_deg90,0.034595363
coarseness_tamura,0.03186834
SRE_deg0,0.031508666
skew_a,0.030618027
std_l,0.029735254
HGL_deg0,0.028371897
RLN_deg90,0.027664512
GLN_deg45,0.025630351
directionality_tamura,0.023806062
SRHGLE_deg90,0.021577133
std_b,0.020850815
SRHGLE_deg0,0.018594287
SRLGLE_deg0,0.015394906
RLN_deg0,0.013205073
SRHGLE_deg45,0.011855768
roughness_tamura,0.011379296
contrast_tamura,0.009535342
