Feature,Importance
std_a,67
mean_b,44
SRE_deg45,38
skewness_lbp,15
std_lbp,14
directionality_tamura,13
SRE_deg0,12
skew_b,12
LRE_deg90,12
GLN_deg90,9
LRHGLE_deg45,7
SRLGLE_deg45,7
RP_deg0,6
std_b,6
std_l,6
mean_l,6
SRE_deg90,4
LRHGLE_deg0,4
SRE_deg135,3
mean_a,3
RP_deg45,3
GLN_deg45,3
LRE_deg45,3
SRHGLE_deg0,3
SRLGLE_deg0,3
LRHGLE_deg90,2
SRLGLE_deg90,2
LGLRE_deg0,2
GLN_deg0,2
contrast_tamura,1
HGL_deg90,1
LGLRE_deg90,1
skew_l,1
LRE_deg135,1
GLN_deg135,1
LRLGLE_deg135,0
LRHGLE_deg135,0
coarseness_tamura,0
LRLGLE_deg90,0
RLN_deg135,0
SRHGLE_deg135,0
RP_deg135,0
LGLRE_deg135,0
SRLGLE_deg135,0
HGL_deg135,0
HGL_deg45,0
SRHGLE_deg90,0
RP_deg90,0
RLN_deg90,0
LRLGLE_deg45,0
SRHGLE_deg45,0
LGLRE_deg45,0
RLN_deg45,0
LRLGLE_deg0,0
HGL_deg0,0
RLN_deg0,0
LRE_deg0,0
kurtosis_lbp,0
median_lbp,0
mean_lbp,0
skew_a,0
roughness_tamura,0
