Feature,Importance
contrast_tamura,0.07295198
roughness_tamura,0.070305385
std_lbp,0.055033214
mean_lbp,0.054816023
RLN_deg0,0.053964324
SRE_deg45,0.053886637
std_l,0.052391652
skewness_lbp,0.04483422
SRE_deg0,0.038267463
SRE_deg90,0.0378785
SRHGLE_deg0,0.03509749
HGL_deg0,0.035081614
skew_l,0.035007726
mean_b,0.0317131
RLN_deg90,0.03147047
LGLRE_deg0,0.031199759
LRE_deg90,0.030574901
GLN_deg90,0.02926184
skew_b,0.028113388
coarseness_tamura,0.027908297
std_a,0.027862977
GLN_deg45,0.027508415
SRHGLE_deg45,0.026639797
directionality_tamura,0.025528861
SRLGLE_deg0,0.022801774
std_b,0.019900193
skew_a,0.0
SRHGLE_deg90,0.0
