Feature,Importance
SRE_deg45,0.14209905
std_b,0.06376832
GLN_deg45,0.051073164
LRE_deg45,0.04890507
SRLGLE_deg45,0.043905467
mean_lbp,0.042685192
std_lbp,0.042273186
HGL_deg0,0.041060835
skew_b,0.040778242
mean_r,0.035330027
GLN_deg90,0.0326287
GLN_deg0,0.03213564
SRLGLE_deg0,0.030152522
LGLRE_deg0,0.028918855
LRE_deg90,0.028720688
coarseness_tamura,0.02742383
SRHGLE_deg0,0.02611369
std_g,0.025661487
directionality_tamura,0.025609704
RLN_deg90,0.02544287
skewness_lbp,0.024034478
LRHGLE_deg0,0.02326825
LRHGLE_deg90,0.022998575
SRE_deg0,0.022483286
SRE_deg90,0.02089529
std_r,0.018816356
LGLRE_deg90,0.016414758
LGLRE_deg45,0.016402423
mean_g,0.0
RLN_deg45,0.0
RP_deg0,0.0
SRLGLE_deg90,0.0
contrast_tamura,0.0
