Feature,Importance
directionality_tamura,0.09987957543696419
SRE_deg45,0.06524478660458895
std_b,0.046679817650546615
std_lbp,0.046654406251763376
std_g,0.036050650019102244
LRE_deg45,0.03393473875932699
GLN_deg45,0.033930019550627515
LRHGLE_deg90,0.03171212219847072
LRE_deg0,0.031105349495374964
coarseness_tamura,0.031030015773155062
LRE_deg135,0.026013273481420737
GLN_deg90,0.025836015986561336
SRE_deg90,0.024923082796955185
RLN_deg90,0.02456329976540593
LRE_deg90,0.022253470614009913
SRHGLE_deg90,0.020355476414683618
LRHGLE_deg0,0.0203535797609881
GLN_deg135,0.019729318381157462
SRHGLE_deg0,0.018077903260494396
SRE_deg0,0.017342561564111562
SRE_deg135,0.016384543409981286
std_r,0.01615077753427503
SRLGLE_deg90,0.015737186651272682
RLN_deg135,0.014958307209404461
SRLGLE_deg0,0.013804121863289883
RP_deg90,0.0136778259540392
contrast_tamura,0.013641108403160676
skew_b,0.012806839057901677
RLN_deg45,0.012391398844891488
mean_lbp,0.012213528898486661
mean_b,0.011854774138095613
RLN_deg0,0.011833842011778879
LRHGLE_deg135,0.011472156621305341
GLN_deg0,0.010215993731699562
SRLGLE_deg45,0.009981932024529615
LGLRE_deg0,0.00993123861907409
SRHGLE_deg45,0.009042915979459956
HGL_deg135,0.008708909490123573
LRHGLE_deg45,0.008319462571499237
mean_g,0.007393352412307326
HGL_deg90,0.007157844665325266
SRLGLE_deg135,0.006827665201618108
LGLRE_deg135,0.006359845955954327
RP_deg0,0.006104750074174541
mean_r,0.005873399396885186
HGL_deg0,0.005695894222929502
skewness_lbp,0.005580527756471691
RP_deg135,0.005257116001148401
SRHGLE_deg135,0.00481871535314769
RP_deg45,0.004768875536985787
kurtosis_lbp,0.004671073898032799
skew_g,0.004572256099327689
LGLRE_deg45,0.0044857657158156525
LGLRE_deg90,0.0037659603475043435
HGL_deg45,0.003611240827388546
roughness_tamura,0.0025741948323088487
skew_r,0.0016851687876126274
median_lbp,2.6135083804558962e-08
LRLGLE_deg90,0.0
LRLGLE_deg135,0.0
LRLGLE_deg45,0.0
LRLGLE_deg0,0.0
