Feature,Importance
directionality_tamura,21
std_b,15
SRHGLE_deg0,14
std_g,13
GLN_deg90,13
LRE_deg90,12
SRLGLE_deg90,11
GLN_deg45,11
SRLGLE_deg45,10
GLN_deg0,9
SRE_deg45,9
coarseness_tamura,9
SRE_deg90,8
LGLRE_deg0,8
mean_lbp,8
SRLGLE_deg0,7
std_lbp,7
mean_b,6
RLN_deg0,6
RLN_deg90,6
LRHGLE_deg135,6
std_r,6
LRHGLE_deg90,6
SRE_deg0,5
SRHGLE_deg90,5
mean_r,5
SRLGLE_deg135,5
LGLRE_deg90,4
LRE_deg0,3
contrast_tamura,3
RLN_deg45,3
SRE_deg135,3
LRE_deg135,3
skew_g,3
LRE_deg45,3
GLN_deg135,2
RLN_deg135,2
HGL_deg135,2
HGL_deg45,2
LRHGLE_deg45,2
mean_g,2
skew_r,2
RP_deg0,2
LGLRE_deg45,2
HGL_deg0,2
roughness_tamura,1
RP_deg45,1
skew_b,1
RP_deg90,1
LGLRE_deg135,1
SRHGLE_deg45,1
kurtosis_lbp,1
SRHGLE_deg135,1
LRLGLE_deg135,0
LRLGLE_deg45,0
median_lbp,0
LRLGLE_deg90,0
skewness_lbp,0
RP_deg135,0
LRLGLE_deg0,0
LRHGLE_deg0,0
HGL_deg90,0
