Feature,Importance
SRE_deg45,0.09781069
skewness_lbp,0.08188175
mean_lbp,0.0738192
mean_u,0.066080704
SRE_deg90,0.060455646
std_lbp,0.050995156
std_v,0.05054058
LGLRE_deg0,0.04960925
GLN_deg90,0.041763037
LRHGLE_deg90,0.03884416
RLN_deg45,0.037682917
SRE_deg0,0.03365885
directionality_tamura,0.028520668
LGLRE_deg90,0.02731053
std_y,0.026589543
SRLGLE_deg0,0.026029535
SRHGLE_deg0,0.025255
std_u,0.023344284
skew_u,0.02161984
LRHGLE_deg0,0.020246439
RLN_deg90,0.016953638
LRE_deg0,0.01674939
GLN_deg45,0.016151514
SRHGLE_deg135,0.015408214
LRE_deg45,0.013748927
coarseness_tamura,0.010680161
HGL_deg90,0.010396721
RP_deg45,0.009119803
LGLRE_deg45,0.0087338
SRLGLE_deg45,0.0
GLN_deg0,0.0
SRE_deg135,0.0
RLN_deg0,0.0
LRHGLE_deg45,0.0
