Feature,Importance
mean_u,108
std_v,91
directionality_tamura,76
std_u,75
LGLRE_deg0,63
SRE_deg45,61
skew_u,59
std_lbp,58
SRE_deg0,55
mean_lbp,48
coarseness_tamura,48
LRE_deg90,48
mean_y,47
LRHGLE_deg0,46
SRLGLE_deg45,45
LRE_deg0,44
SRE_deg90,43
RLN_deg90,40
LRE_deg45,39
SRHGLE_deg0,39
GLN_deg0,38
std_y,34
GLN_deg90,33
skew_y,32
HGL_deg0,30
SRLGLE_deg0,30
GLN_deg45,29
LRHGLE_deg90,26
RLN_deg0,24
mean_v,24
SRHGLE_deg45,22
LGLRE_deg45,20
RP_deg0,17
RLN_deg45,15
GLN_deg135,15
LRE_deg135,14
contrast_tamura,14
LRHGLE_deg45,13
skewness_lbp,13
LGLRE_deg90,13
SRE_deg135,11
SRHGLE_deg90,11
SRLGLE_deg90,10
RP_deg45,8
SRLGLE_deg135,8
HGL_deg45,6
LGLRE_deg135,4
RLN_deg135,3
HGL_deg90,2
RP_deg90,2
LRHGLE_deg135,2
skew_v,1
roughness_tamura,1
LRLGLE_deg90,0
LRLGLE_deg45,0
RP_deg135,0
HGL_deg135,0
LRLGLE_deg0,0
SRHGLE_deg135,0
LRLGLE_deg135,0
kurtosis_lbp,0
median_lbp,0
