Feature,Importance
SRHGLE_deg90,0.14703724
SRLGLE_deg90,0.073723175
SRHGLE_deg0,0.064555004
contrast_tamura,0.064223714
roughness_tamura,0.056412533
skew_a,0.05141884
std_a,0.050300334
mean_b,0.044139143
mean_lbp,0.044110354
skew_b,0.039662305
LRE_deg90,0.039525013
GLN_deg0,0.032431837
LRHGLE_deg0,0.031862307
SRE_deg135,0.026557548
mean_a,0.026235834
directionality_tamura,0.025248105
skew_l,0.024472648
LRE_deg135,0.024125887
GLN_deg90,0.022179635
SRLGLE_deg45,0.018562661
SRE_deg0,0.018426739
SRE_deg90,0.017870305
mean_l,0.016650414
coarseness_tamura,0.015921043
std_l,0.014255204
SRLGLE_deg0,0.010092107
