Feature,Importance
mean_v,0.40736273493733716
SRHGLE_deg90,0.07786005408588988
mean_u,0.06868573826844213
std_y,0.06475648763872692
LRE_deg90,0.058002151950526167
skewness_lbp,0.05510894970508292
directionality_tamura,0.04823893435955358
skew_u,0.04608317249579878
SRE_deg135,0.040728839611469336
LRHGLE_deg90,0.03343627710095884
std_v,0.029942035577974327
RLN_deg0,0.027399232527443838
SRHGLE_deg0,0.015158231636211448
roughness_tamura,0.010674600116610158
std_lbp,0.010255964521274344
LGLRE_deg90,0.004589576403029504
SRE_deg0,0.001717019063670706
LRLGLE_deg90,0.0
GLN_deg90,0.0
RLN_deg90,0.0
RP_deg90,0.0
contrast_tamura,0.0
HGL_deg90,0.0
SRLGLE_deg90,0.0
coarseness_tamura,0.0
LRHGLE_deg135,0.0
SRLGLE_deg135,0.0
LRLGLE_deg135,0.0
LRE_deg135,0.0
GLN_deg135,0.0
RLN_deg135,0.0
RP_deg135,0.0
SRE_deg90,0.0
SRHGLE_deg135,0.0
HGL_deg135,0.0
LGLRE_deg135,0.0
mean_y,0.0
LRHGLE_deg45,0.0
HGL_deg0,0.0
std_u,0.0
skew_y,0.0
skew_v,0.0
mean_lbp,0.0
median_lbp,0.0
kurtosis_lbp,0.0
LRE_deg0,0.0
GLN_deg0,0.0
RP_deg0,0.0
LGLRE_deg0,0.0
SRLGLE_deg0,0.0
LRLGLE_deg45,0.0
LRLGLE_deg0,0.0
LRHGLE_deg0,0.0
SRE_deg45,0.0
LRE_deg45,0.0
GLN_deg45,0.0
RLN_deg45,0.0
RP_deg45,0.0
LGLRE_deg45,0.0
SRLGLE_deg45,0.0
SRHGLE_deg45,0.0
HGL_deg45,0.0
