Feature,Importance
RLN_deg0,0.15278216
std_b,0.055039674
SRLGLE_deg45,0.054258935
LGLRE_deg45,0.052337915
HGL_deg0,0.04614789
LRE_deg0,0.045429904
SRHGLE_deg45,0.03311711
SRHGLE_deg90,0.03153597
SRHGLE_deg135,0.030459642
LGLRE_deg0,0.029226124
SRLGLE_deg90,0.028772099
LRE_deg45,0.026815902
LRHGLE_deg90,0.026165476
mean_b,0.026111284
LRE_deg90,0.025649335
SRE_deg135,0.025056088
skew_r,0.023018887
SRLGLE_deg135,0.022928452
SRLGLE_deg0,0.021849599
SRHGLE_deg0,0.021177478
SRE_deg45,0.02019704
mean_r,0.019087909
coarseness_tamura,0.01818493
GLN_deg90,0.01812117
SRE_deg90,0.01738635
SRE_deg0,0.017095381
std_g,0.017069807
skewness_lbp,0.017018368
directionality_tamura,0.016994903
RP_deg90,0.016058551
GLN_deg0,0.015811585
GLN_deg135,0.015389467
LRHGLE_deg45,0.01370469
roughness_tamura,0.0
