Feature,Importance
directionality_tamura,0.07822996099066662
coarseness_tamura,0.058986323104630284
LRHGLE_deg90,0.0533880090874275
SRE_deg135,0.050057670533648645
SRE_deg0,0.04601893321911168
LRE_deg90,0.034243455653575075
SRLGLE_deg90,0.03384322538836209
SRE_deg90,0.03352212548450849
LRE_deg135,0.033043495913653555
std_g,0.03072274539472511
GLN_deg90,0.029194388827917216
LRE_deg45,0.02785843056061758
std_b,0.026296005816932314
SRE_deg45,0.02338323834777303
skewness_lbp,0.023078897548183746
LRE_deg0,0.022828966935516188
GLN_deg135,0.020724481752936518
LGLRE_deg135,0.01929688236788116
std_r,0.017601057267934244
GLN_deg0,0.017565092150433056
LRHGLE_deg45,0.01721131278009054
LGLRE_deg45,0.016450584021818582
SRHGLE_deg90,0.014165619596255811
mean_b,0.013930582707363234
GLN_deg45,0.013198471042391724
SRLGLE_deg0,0.013166323471615744
LRHGLE_deg135,0.012786573453926527
SRHGLE_deg0,0.012474693942017976
HGL_deg90,0.012208467925803271
LRHGLE_deg0,0.012016671796619253
SRLGLE_deg45,0.011971404479914901
SRLGLE_deg135,0.011117813109211635
std_lbp,0.010527686715174664
RLN_deg45,0.010419084868237623
RLN_deg135,0.010132609508249901
LGLRE_deg90,0.009776111783863334
RLN_deg0,0.009770344218887912
SRHGLE_deg135,0.009761697580098616
mean_g,0.008067799174636995
RP_deg0,0.00805972185173239
skew_b,0.007145058399445098
SRHGLE_deg45,0.006322048910082918
HGL_deg135,0.005908644909042044
LGLRE_deg0,0.0058443533905335856
median_lbp,0.005795442516398457
skew_r,0.005227392951044882
RP_deg90,0.005182651999339293
kurtosis_lbp,0.0051345400841461995
RLN_deg90,0.004789175067101993
roughness_tamura,0.004764111389394531
mean_lbp,0.004595482090477338
mean_r,0.004515073642267717
contrast_tamura,0.0039260790539332735
RP_deg135,0.0038525557416233414
RP_deg45,0.0030803533482202466
skew_g,0.0025287819242514812
HGL_deg0,0.002482787743325187
HGL_deg45,0.0018085064650275298
LRLGLE_deg90,0.0
LRLGLE_deg45,0.0
LRLGLE_deg135,0.0
LRLGLE_deg0,0.0
