Feature,Importance
RLN_deg0,0.15914777
mean_lbp,0.08462055
LRE_deg0,0.080132775
std_v,0.055057906
LRE_deg45,0.053280238
HGL_deg0,0.03937447
mean_y,0.03616673
mean_u,0.033700157
SRE_deg135,0.033441376
SRHGLE_deg90,0.03318993
SRLGLE_deg135,0.03282521
skew_u,0.032781467
GLN_deg0,0.032737173
LRHGLE_deg45,0.03171856
LRE_deg90,0.031662703
LGLRE_deg0,0.031255156
LRHGLE_deg0,0.030198101
LRHGLE_deg90,0.028369693
SRE_deg90,0.027986912
LRE_deg135,0.025041927
coarseness_tamura,0.023084207
SRHGLE_deg135,0.017637098
RP_deg45,0.017017534
std_u,0.016274106
SRHGLE_deg0,0.013298232
LRHGLE_deg135,0.0
SRE_deg45,0.0
GLN_deg90,0.0
SRLGLE_deg45,0.0
skewness_lbp,0.0
skew_y,0.0
mean_v,0.0
directionality_tamura,0.0
