Feature,Importance
std_v,0.2109231991155293
mean_v,0.18157828323059186
mean_u,0.11758832840962051
LRHGLE_deg90,0.11102726173316632
skewness_lbp,0.08595824360000288
LRE_deg90,0.08284947457487088
RLN_deg0,0.07919131374605137
LRE_deg135,0.039960205055154775
LRE_deg0,0.03869465009054426
SRE_deg135,0.02519632551689144
std_y,0.01459597590027931
LRHGLE_deg45,0.006235147915777
LRHGLE_deg135,0.006201591111520155
RLN_deg90,0.0
LGLRE_deg90,0.0
HGL_deg90,0.0
GLN_deg90,0.0
SRLGLE_deg90,0.0
SRHGLE_deg90,0.0
LRLGLE_deg90,0.0
RP_deg90,0.0
mean_y,0.0
GLN_deg135,0.0
RLN_deg135,0.0
RP_deg135,0.0
LGLRE_deg135,0.0
HGL_deg135,0.0
SRLGLE_deg135,0.0
SRHGLE_deg135,0.0
LRLGLE_deg135,0.0
coarseness_tamura,0.0
contrast_tamura,0.0
directionality_tamura,0.0
SRE_deg90,0.0
HGL_deg45,0.0
LRLGLE_deg45,0.0
LGLRE_deg0,0.0
std_u,0.0
skew_y,0.0
skew_u,0.0
skew_v,0.0
mean_lbp,0.0
median_lbp,0.0
std_lbp,0.0
kurtosis_lbp,0.0
SRE_deg0,0.0
GLN_deg0,0.0
RP_deg0,0.0
HGL_deg0,0.0
SRHGLE_deg45,0.0
SRLGLE_deg0,0.0
SRHGLE_deg0,0.0
LRLGLE_deg0,0.0
LRHGLE_deg0,0.0
SRE_deg45,0.0
LRE_deg45,0.0
GLN_deg45,0.0
RLN_deg45,0.0
RP_deg45,0.0
LGLRE_deg45,0.0
SRLGLE_deg45,0.0
roughness_tamura,0.0
