Feature,Importance
SRE_deg45,0.11096716
std_b,0.06682424
SRLGLE_deg45,0.05830994
LGLRE_deg45,0.053543
SRLGLE_deg90,0.04640322
LGLRE_deg90,0.042958386
SRLGLE_deg135,0.035976637
std_g,0.031603564
SRHGLE_deg45,0.030152056
LRHGLE_deg0,0.027875632
RLN_deg45,0.027497511
SRHGLE_deg0,0.024972381
SRE_deg0,0.024116343
LRHGLE_deg90,0.022581138
mean_r,0.022310799
LRE_deg135,0.021924296
LGLRE_deg0,0.020574426
LRE_deg90,0.020009778
coarseness_tamura,0.019239413
std_lbp,0.01917114
LRE_deg0,0.018283002
mean_b,0.017753083
GLN_deg90,0.017522475
directionality_tamura,0.017116426
skewness_lbp,0.01657475
RLN_deg0,0.016315442
std_r,0.016251173
HGL_deg0,0.01597568
HGL_deg135,0.015929867
RP_deg90,0.013669573
contrast_tamura,0.013307325
SRLGLE_deg0,0.012552068
SRE_deg90,0.012314901
HGL_deg90,0.012054084
mean_lbp,0.011187129
LRHGLE_deg45,0.0098138265
SRE_deg135,0.009259285
mean_g,0.008320219
GLN_deg135,0.008209507
GLN_deg0,0.005620401
LRE_deg45,0.004958777
