Feature,Importance
std_g,0.08340608291288178
SRLGLE_deg90,0.07185606096532726
mean_b,0.0714294082819816
coarseness_tamura,0.06960196206740907
directionality_tamura,0.05831622719894612
std_b,0.05613427053178958
skewness_lbp,0.05059828684937971
LRE_deg0,0.04105096617151721
LRHGLE_deg90,0.03829092087806952
std_r,0.034247863956051665
SRLGLE_deg135,0.03382973450171452
SRLGLE_deg45,0.0330029058795664
GLN_deg0,0.026786964125151278
SRE_deg135,0.024583471796394033
LGLRE_deg45,0.024068059383723982
kurtosis_lbp,0.0214115527315223
SRE_deg0,0.021163318839640916
RLN_deg0,0.01992308169901807
SRE_deg90,0.018803747258689465
LGLRE_deg90,0.017464375223986004
skew_r,0.016556107593623626
HGL_deg90,0.015400847789912143
RP_deg0,0.014155179905308436
SRHGLE_deg45,0.014121437230375983
LRE_deg135,0.011671365343020776
mean_r,0.01070777644694645
GLN_deg90,0.010142448557118492
RLN_deg135,0.008478623401345274
HGL_deg135,0.007737135496926767
contrast_tamura,0.00761227819125997
RLN_deg45,0.007610914521950812
SRE_deg45,0.007525429495583392
SRHGLE_deg90,0.0072000003440642
GLN_deg45,0.0070231514604592
LRE_deg90,0.0069068154099793805
GLN_deg135,0.00530620415499591
LRHGLE_deg0,0.0046332865535908575
roughness_tamura,0.00459849976731126
LRE_deg45,0.0036652874752438106
skew_g,0.003142312118001031
RP_deg90,0.002580739128418948
SRHGLE_deg0,0.0019683872331627047
mean_g,0.0015683653151715112
LRHGLE_deg135,0.0015243892207534204
LGLRE_deg0,0.0012033201820610773
skew_b,0.0005425161782563039
LRHGLE_deg45,0.00035554345364318107
std_lbp,6.000124315246867e-05
HGL_deg0,2.556758840661455e-05
LGLRE_deg135,6.6399761248222184e-06
RP_deg135,1.4502967633418326e-07
SRHGLE_deg135,2.282943269277436e-08
RLN_deg90,1.1196164357662512e-10
LRLGLE_deg0,0.0
SRLGLE_deg0,0.0
median_lbp,0.0
LRLGLE_deg135,0.0
LRLGLE_deg90,0.0
mean_lbp,0.0
RP_deg45,0.0
LRLGLE_deg45,0.0
HGL_deg45,0.0
