Feature,Importance
std_v,0.09018225
SRHGLE_deg0,0.08844122
SRHGLE_deg45,0.07681814
LRHGLE_deg45,0.072105855
mean_u,0.071668066
RLN_deg0,0.068852074
LRE_deg135,0.06561836
LRE_deg90,0.064099655
coarseness_tamura,0.04268757
std_u,0.03848221
skew_y,0.037169423
LGLRE_deg135,0.03677736
SRE_deg45,0.030869355
directionality_tamura,0.029683547
std_y,0.026193094
mean_y,0.025689833
HGL_deg0,0.02539056
std_lbp,0.023873396
LRE_deg0,0.020570906
LRHGLE_deg90,0.018116707
GLN_deg0,0.016921304
GLN_deg45,0.016909964
SRE_deg0,0.012879071
