Feature,Importance
LRE_deg135,0.16011514
LRE_deg45,0.08690851
HGL_deg0,0.06842858
mean_a,0.04861756
LRHGLE_deg0,0.046560943
LGLRE_deg45,0.04044073
LRHGLE_deg90,0.040017553
std_l,0.036629185
SRLGLE_deg0,0.033937834
skew_a,0.032859094
SRHGLE_deg90,0.0323045
std_a,0.032109655
skew_b,0.031193655
skewness_lbp,0.029073833
LRE_deg90,0.02716998
mean_b,0.0270508
SRE_deg45,0.02376542
SRLGLE_deg135,0.02329942
directionality_tamura,0.022111403
HGL_deg90,0.022043085
std_b,0.019872464
GLN_deg90,0.019213228
SRE_deg90,0.017696902
LRE_deg0,0.01696889
coarseness_tamura,0.014256367
LGLRE_deg90,0.0129401535
RLN_deg45,0.012923754
mean_lbp,0.011196953
roughness_tamura,0.010294447
RP_deg90,0.0
SRE_deg135,0.0
RLN_deg90,0.0
GLN_deg135,0.0
LRHGLE_deg45,0.0
LRHGLE_deg135,0.0
GLN_deg0,0.0
SRE_deg0,0.0
mean_l,0.0
